model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
kernel,kernel,naive,0,338,1115,h,10.0,0.28778907068177345,1.8202355116063906,0.03667497634887695,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.5324464409246172
kernel,kernel,block,0,338,1115,h,20.689655172413794,2.6055914025626574,2.1631692546532855,0.035752296447753906,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.44242214790937195
kernel,kernel,block_buffered,0,338,1115,h,320.0,2.725721142057088,1.9211574618008072,0.032418012619018555,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.8045636802562808
kernel,kernel,walk_forward,0,338,1115,h,320.0,2.164168824734829,2.142413053462711,0.019266843795776367,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.02175577127211792
kernel,kernel,naive,1,1338,2115,h,10.0,0.3996978926213398,1.6883087695266628,0.03585410118103027,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.2886108769053228
kernel,kernel,block,1,1338,2115,h,84.82758620689656,1.475464049436735,2.0838445474335954,0.03531599044799805,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.6083804979968603
kernel,kernel,block_buffered,1,1338,2115,h,31.379310344827587,1.2106812939533165,1.7086639247905553,0.033100128173828125,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.4979826308372388
kernel,kernel,walk_forward,1,1338,2115,h,10.0,1.0292709433399103,2.073880061927184,0.018722057342529297,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.044609118587274
kernel,kernel,naive,2,2338,3115,h,10.0,0.3129449694810454,2.6034720647162044,0.03585171699523926,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-2.290527095235159
kernel,kernel,block,2,2338,3115,h,95.51724137931035,1.328617133659336,2.8221054141750637,0.03554725646972656,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.4934882805157277
kernel,kernel,block_buffered,2,2338,3115,h,74.13793103448276,1.367353014710766,2.6524992785468164,0.03289389610290527,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.2851462638360505
kernel,kernel,walk_forward,2,2338,3115,h,127.58620689655173,1.6034594589221696,2.821126412865867,0.0186769962310791,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.2176669539436973
kernel,kernel,naive,3,3338,4115,h,10.0,0.36497713330386505,1.1211130663154,0.03586602210998535,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.756135933011535
kernel,kernel,block,3,3338,4115,h,320.0,1.3055501814094455,1.2863280154451386,0.035624027252197266,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.019222165964306814
kernel,kernel,block_buffered,3,3338,4115,h,320.0,1.3010930866955008,1.3627275514461576,0.03312325477600098,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.061634464750656814
kernel,kernel,walk_forward,3,3338,4115,h,52.758620689655174,1.2696309659817233,1.1905235971950243,0.01939702033996582,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.079107368786699
kernel,kernel,naive,4,4338,5115,h,10.0,0.33372463618264475,1.8714417550114963,0.03590893745422363,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.5377171188288516
kernel,kernel,block,4,4338,5115,h,74.13793103448276,1.3008272239993484,1.9851635786634645,0.03372502326965332,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.6843363546641161
kernel,kernel,block_buffered,4,4338,5115,h,63.44827586206897,1.229787653462342,2.0142515586835747,0.03121185302734375,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.7844639052212328
kernel,kernel,walk_forward,4,4338,5115,h,31.379310344827587,1.5046968696716225,1.6573670786775387,0.017768144607543945,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.1526702090059162
kernel,kernel,naive,5,5338,6115,h,10.0,0.32888586578696233,2.3617099656468605,0.03617095947265625,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-2.0328240998598983
kernel,kernel,block,5,5338,6115,h,74.13793103448276,1.0411664655422297,2.636079011243088,0.03550291061401367,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.5949125457008582
kernel,kernel,block_buffered,5,5338,6115,h,52.758620689655174,1.0575353136292687,2.6897596279170513,0.033016204833984375,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.6322243142877826
kernel,kernel,walk_forward,5,5338,6115,h,63.44827586206897,1.5187097787493495,2.0457968575417467,0.01906108856201172,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.5270870787923971
kernel,kernel,naive,6,6338,7115,h,10.0,0.42600638180366346,1.692654824593113,0.03524899482727051,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.2666484427894495
kernel,kernel,block,6,6338,7115,h,159.6551724137931,1.740913471096792,2.3432623705010913,0.035674095153808594,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.6023488994042994
