model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
spline,spline,naive,0,338,1115,lambda,0.01,0.2675862629964297,5.379547540023414,0.052320003509521484,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-5.111961277026984
spline,spline,block,0,338,1115,lambda,356.2247890262444,3.342768445495429,2.310493236866659,0.049768924713134766,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",1.03227520862877
spline,spline,block_buffered,0,338,1115,lambda,12.689610031679221,5.397149597597609,2.4090523625034566,0.049310922622680664,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",2.988097235094153
spline,spline,walk_forward,0,338,1115,lambda,10000.0,3.2701932225385977,1.8410703387890983,0.05633211135864258,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",1.4291228837494994
spline,spline,naive,1,1338,2115,lambda,0.01,0.4122695150813369,5.084007574087407,0.05257916450500488,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-4.67173805900607
spline,spline,block,1,1338,2115,lambda,2395.026619987486,1.351803190463104,1.6498265419873799,0.05038905143737793,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.29802335152427584
spline,spline,block_buffered,1,1338,2115,lambda,3856.620421163472,1.2485392743950192,1.6255111295611406,0.050137996673583984,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.3769718551661214
spline,spline,walk_forward,1,1338,2115,lambda,10000.0,1.2657662288343943,1.7043530859559533,0.05621814727783203,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.438586857121559
spline,spline,naive,2,2338,3115,lambda,0.01,0.3350005003121482,5.288628085643671,0.050499916076660156,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-4.953627585331523
spline,spline,block,2,2338,3115,lambda,10000.0,1.234202436073502,2.2546922957463678,0.04995107650756836,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.0204898596728658
spline,spline,block_buffered,2,2338,3115,lambda,10000.0,1.2686778710346274,2.309511755508952,0.04991006851196289,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.0408338844743246
spline,spline,walk_forward,2,2338,3115,lambda,10000.0,2.252340390718444,2.2546922957463678,0.055703163146972656,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.0023519050279237064
spline,spline,naive,3,3338,4115,lambda,0.01,0.3955653689479665,4.904939180302972,0.05345010757446289,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-4.5093738113550055
spline,spline,block,3,3338,4115,lambda,10000.0,1.3374023394552925,1.2535796460212623,0.050160884857177734,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.08382269343403026
spline,spline,block_buffered,3,3338,4115,lambda,2395.026619987486,1.294817666501301,1.3012602689991695,0.04783892631530762,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.006442602497868544
spline,spline,walk_forward,3,3338,4115,lambda,573.6152510448682,1.1746046773740995,1.1967431653124536,0.053910017013549805,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.022138487938354157
spline,spline,naive,4,4338,5115,lambda,0.01,0.3303874366927594,6.974146219034035,0.048204660415649414,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-6.643758782341275
spline,spline,block,4,4338,5115,lambda,6210.169418915616,1.4150921782453387,1.6075659414791605,0.05007004737854004,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.19247376323382182
spline,spline,block_buffered,4,4338,5115,lambda,6210.169418915616,1.5933454638066031,1.9255392198759267,0.04832911491394043,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.33219375606932355
spline,spline,walk_forward,4,4338,5115,lambda,3856.620421163472,2.144681753482709,1.6168397813693816,0.05358695983886719,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.5278419721133274
spline,spline,naive,5,5338,6115,lambda,0.01,0.3668218254336487,10.226769581302339,0.05208921432495117,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-9.85994775586869
spline,spline,block,5,5338,6115,lambda,10000.0,1.1843449385606477,2.745953646856852,0.049540042877197266,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.5616087082962045
spline,spline,block_buffered,5,5338,6115,lambda,3856.620421163472,0.9748749891211957,2.408774898342679,0.046547889709472656,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.4338999092214832
spline,spline,walk_forward,5,5338,6115,lambda,10000.0,1.6664938830620064,2.4098603478285456,0.05595993995666504,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.7433664647665392
spline,spline,naive,6,6338,7115,lambda,0.01,0.4847304485180478,7.293674309101746,0.051714181900024414,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-6.808943860583699
spline,spline,block,6,6338,7115,lambda,10000.0,1.7587554054900543,1.6957647717394295,0.04996991157531738,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.06299063375062475
spline,spline,block_buffered,6,6338,7115,lambda,2395.026619987486,1.7839758296820372,1.462259751144949,0.05031085014343262,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.32171607853708806
spline,spline,walk_forward,6,6338,7115,lambda,10000.0,2.334745768707189,1.650594039262014,0.0550079345703125,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.6841517294451749
