model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
xgb,xgb,naive,0,338,1115,max_depth,5.0,0.1880415036947512,1.6078551167775832,0.3745441436767578,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.419813613082832
xgb,xgb,block,0,338,1115,max_depth,6.0,2.5687425794293546,1.519109223498402,0.3754739761352539,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",1.0496333559309525
xgb,xgb,block_buffered,0,338,1115,max_depth,2.0,4.927237683014704,1.6027677769427613,0.37128281593322754,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",3.324469906071943
xgb,xgb,walk_forward,0,338,1115,max_depth,2.0,2.3736635292019512,1.6879829292381168,0.41736435890197754,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.6856805999638345
xgb,xgb,naive,1,1338,2115,max_depth,6.0,0.21138869912269237,1.568427628510237,0.3596639633178711,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.3570389293875447
xgb,xgb,block,1,1338,2115,max_depth,2.0,1.745266155884869,1.5976556720461275,0.36324095726013184,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.14761048383874154
xgb,xgb,block_buffered,1,1338,2115,max_depth,2.0,1.412311355736005,1.563349572883577,0.35648417472839355,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.15103821714757193
xgb,xgb,walk_forward,1,1338,2115,max_depth,3.0,0.9868927000632643,1.600141447052227,0.42023706436157227,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.6132487469889627
xgb,xgb,naive,2,2338,3115,max_depth,5.0,0.19922828936961454,2.3187173086692785,0.36899876594543457,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-2.119489019299664
xgb,xgb,block,2,2338,3115,max_depth,2.0,1.3000533099008729,2.2998436427693276,0.3637239933013916,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.9997903328684548
xgb,xgb,block_buffered,2,2338,3115,max_depth,2.0,1.4849796964225768,2.2926361279440757,0.36334896087646484,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.8076564315214989
xgb,xgb,walk_forward,2,2338,3115,max_depth,2.0,3.196610320784988,2.3589167640773274,0.4234199523925781,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.8376935567076607
xgb,xgb,naive,3,3338,4115,max_depth,5.0,0.2058849857160569,1.1213948156212736,0.3525247573852539,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.9155098299052167
xgb,xgb,block,3,3338,4115,max_depth,2.0,1.5942858753764795,1.0652362815269019,0.3697810173034668,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.5290495938495776
xgb,xgb,block_buffered,3,3338,4115,max_depth,2.0,2.067637280125675,1.0440688819495556,0.37056517601013184,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",1.0235683981761194
xgb,xgb,walk_forward,3,3338,4115,max_depth,2.0,1.912870353351586,1.0776024025639392,0.42159104347229004,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.8352679507876468
xgb,xgb,naive,4,4338,5115,max_depth,4.0,0.18918718823494818,1.7912350196724618,0.3773651123046875,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.6020478314375137
xgb,xgb,block,4,4338,5115,max_depth,2.0,1.1762448313186404,1.83586147385798,0.3819160461425781,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.6596166425393395
xgb,xgb,block_buffered,4,4338,5115,max_depth,2.0,1.3652171574699379,1.8389362873557389,0.37128520011901855,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.473719129885801
xgb,xgb,walk_forward,4,4338,5115,max_depth,2.0,1.6027133571558754,1.7785206621788059,0.4241979122161865,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.17580730502293052
xgb,xgb,naive,5,5338,6115,max_depth,5.0,0.19988303198647445,2.344493600804459,0.37888574600219727,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-2.1446105688179844
xgb,xgb,block,5,5338,6115,max_depth,2.0,1.5649841772913513,2.300928795009312,0.3762071132659912,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.7359446177179607
xgb,xgb,block_buffered,5,5338,6115,max_depth,3.0,1.1303429566611403,2.3670626455804546,0.37524914741516113,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.2367196889193144
xgb,xgb,walk_forward,5,5338,6115,max_depth,2.0,2.374536321263307,2.3295674657770795,0.41448497772216797,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.04496885548622753
xgb,xgb,naive,6,6338,7115,max_depth,6.0,0.21920447135009322,1.685390447965188,0.3640739917755127,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.4661859766150949
xgb,xgb,block,6,6338,7115,max_depth,6.0,2.2017479478043054,1.7240176321438665,0.3571200370788574,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.4777303156604389
xgb,xgb,block_buffered,6,6338,7115,max_depth,2.0,2.1418276653070687,1.6360129884110688,0.362943172454834,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.5058146768959999
xgb,xgb,walk_forward,6,6338,7115,max_depth,2.0,2.2705489189234798,1.7192589315062528,0.4108278751373291,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.551289987417227
xgb,xgb,naive,7,7338,8115,max_depth,5.0,0.1948886891352067,3.3256282933513774,0.36444878578186035,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-3.1307396042161706
xgb,xgb,block,7,7338,8115,max_depth,8.0,1.4413971715494251,3.3147285695455375,0.3552992343902588,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.8733313979961124
xgb,xgb,block_buffered,7,7338,8115,max_depth,5.0,1.881911997551763,3.1809699995549847,0.36008787155151367,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.2990580020032216
xgb,xgb,walk_forward,7,7338,8115,max_depth,2.0,1.4196308170181149,3.1906781540225055,0.41899967193603516,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.7710473370043907
xgb,xgb,naive,8,8338,9115,max_depth,5.0,0.18317220509367646,1.7328093717375315,0.3734471797943115,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.549637166643855
xgb,xgb,block,8,8338,9115,max_depth,2.0,2.1405758972009186,1.846762510204788,0.3813188076019287,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.2938133869961306
xgb,xgb,block_buffered,8,8338,9115,max_depth,3.0,2.3460758152221386,1.7897171724208643,0.36671996116638184,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.5563586428012743
xgb,xgb,walk_forward,8,8338,9115,max_depth,2.0,0.8458308323993994,1.825280041882174,0.4221837520599365,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-0.9794492094827746
xgb,xgb,naive,9,9338,10115,max_depth,6.0,0.16191857106727112,1.3695601106230915,0.3719010353088379,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.2076415395558204
xgb,xgb,block,9,9338,10115,max_depth,2.0,1.4724759854508662,1.3618584054507827,0.37693285942077637,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.11061758000008348
xgb,xgb,block_buffered,9,9338,10115,max_depth,2.0,1.5239036144046705,1.3048129342341697,0.3747117519378662,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.21909068017050082
xgb,xgb,walk_forward,9,9338,10115,max_depth,2.0,1.7574314392711872,1.3127328375036567,0.43125391006469727,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.4446986017675305
xgb,xgb,naive,10,10338,11115,max_depth,6.0,0.20525779358995608,1.8192848562390658,0.35189294815063477,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",-1.6140270626491098
xgb,xgb,block,10,10338,11115,max_depth,2.0,2.664377335545693,1.8740749255041684,0.35620903968811035,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 20, 'sigma': 0.45}",0.7903024100415246
