model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
kernel,kernel,naive,0,338,1115,h,10.0,0.26996398680658257,1.9087762419392746,0.03655099868774414,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",-1.638812255132692
kernel,kernel,block,0,338,1115,h,10.0,4.762426791726307,2.889600444684181,0.035556793212890625,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",1.872826347042126
kernel,kernel,block_buffered,0,338,1115,h,320.0,5.7653830073484915,2.7421166353999373,0.033119916915893555,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",3.023266371948554
kernel,kernel,walk_forward,0,338,1115,h,320.0,4.62778845263833,2.2742746801143703,0.019119739532470703,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",2.35351377252396
kernel,kernel,naive,1,1338,2115,h,10.0,0.31330504990288965,1.7757140862261018,0.03554201126098633,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",-1.462409036323212
kernel,kernel,block,1,1338,2115,h,74.13793103448276,1.6198819420694073,2.514268813749077,0.035677194595336914,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",-0.8943868716796697
kernel,kernel,block_buffered,1,1338,2115,h,52.758620689655174,1.5994849071914363,2.32116935562476,0.03314828872680664,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",-0.7216844484333238
kernel,kernel,walk_forward,1,1338,2115,h,10.0,0.9781228053125502,2.4581428216583894,0.01935100555419922,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",-1.480020016345839
kernel,kernel,naive,2,2338,3115,h,10.0,0.3074594269068615,2.349079183958895,0.03505897521972656,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",-2.0416197570520334
kernel,kernel,block,2,2338,3115,h,106.20689655172414,2.341689684059155,3.2271591455897424,0.03566098213195801,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",-0.8854694615305876
kernel,kernel,block_buffered,2,2338,3115,h,95.51724137931035,2.492764378523405,3.3329523377267973,0.03342604637145996,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",-0.8401879592033925
kernel,kernel,walk_forward,2,2338,3115,h,148.9655172413793,2.936069706208072,3.290678814722112,0.019298791885375977,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",-0.35460910851404037
kernel,kernel,naive,3,3338,4115,h,10.0,0.3285405866529213,1.0188179159301325,0.036028146743774414,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",-0.6902773292772112
kernel,kernel,block,3,3338,4115,h,10.0,1.909943946252407,0.8757448186031548,0.03575015068054199,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",1.0341991276492521
kernel,kernel,block_buffered,3,3338,4115,h,320.0,2.2616440133537408,1.694230013803575,0.0333859920501709,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",0.5674139995501657
kernel,kernel,walk_forward,3,3338,4115,h,31.379310344827587,1.6121772214373558,1.3446094860783944,0.018664121627807617,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",0.2675677353589614
kernel,kernel,naive,4,4338,5115,h,10.0,0.3100136291109864,1.5588640333455221,0.0361027717590332,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",-1.2488504042345356
kernel,kernel,block,4,4338,5115,h,63.44827586206897,1.7070774314488002,1.7455966487956058,0.03568577766418457,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",-0.038519217346805634
kernel,kernel,block_buffered,4,4338,5115,h,63.44827586206897,2.189646696113745,2.4845543256518483,0.03348207473754883,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 40, 'sigma': 0.45}",-0.29490762953810323
