model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
kernel,kernel,naive,0,140,917,h,0.2,0.6379205440872744,5.802270742358079,4.114412784576416,6906,real_data,real_data,{},-5.164350198270805
kernel,kernel,block,0,140,917,h,178.51282051282053,2.081837734965232,1.8581093335309173,4.0342700481414795,6906,real_data,real_data,{},0.2237284014343146
kernel,kernel,block_buffered,0,140,917,h,178.51282051282053,2.3600023683847975,1.8841689694771875,4.053343057632446,6906,real_data,real_data,{},0.47583339890761
kernel,kernel,walk_forward,0,140,917,h,240.0,2.356467404486785,1.8325528034462821,1.7684202194213867,6906,real_data,real_data,{},0.5239146010405027
spline,spline,naive,0,140,917,lambda,0.01,1.906263679688554,3.8833648873789746,0.23050689697265625,6906,real_data,real_data,{},-1.9771012076904206
spline,spline,block,0,140,917,lambda,17.012542798525892,2.0669239312199412,1.8943538712117178,0.21518206596374512,6906,real_data,real_data,{},0.1725700600082234
spline,spline,block_buffered,0,140,917,lambda,7017.038286703837,2.473233909167355,1.911401907355941,0.22211909294128418,6906,real_data,real_data,{},0.5618320018114142
spline,spline,walk_forward,0,140,917,lambda,7017.038286703837,2.5063258262361243,1.8661943391926477,0.19709396362304688,6906,real_data,real_data,{},0.6401314870434767
xg_boost,xg_boost,naive,0,140,917,max_depth,6.0,1.600698693962909,2.909062138726832,0.8696227073669434,6906,real_data,real_data,{},-1.3083634447639227
xg_boost,xg_boost,block,0,140,917,max_depth,2.0,2.0987848261968325,2.5878117888461345,0.7943038940429688,6906,real_data,real_data,{},-0.489026962649302
xg_boost,xg_boost,block_buffered,0,140,917,max_depth,4.0,2.104071078529312,2.5849417339124314,0.7557501792907715,6906,real_data,real_data,{},-0.48087065538311924
xg_boost,xg_boost,walk_forward,0,140,917,max_depth,2.0,2.687471601413474,2.5561189435153073,0.7453229427337646,6906,real_data,real_data,{},0.13135265789816675
