model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
kernel,kernel,naive,0,338,1115,h,10.0,0.11410898375847774,0.3440780905422465,0.03687286376953125,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.22996910678376875
kernel,kernel,block,0,338,1115,h,10.0,0.89339774790805,0.38688423739697086,0.036531925201416016,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.5065135105110792
kernel,kernel,block_buffered,0,338,1115,h,10.0,1.1690052638387223,0.3977238229920944,0.03512215614318848,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.7712814408466279
kernel,kernel,walk_forward,0,338,1115,h,10.0,0.31118315598781365,0.341143598796277,0.020869970321655273,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.029960442808463328
kernel,kernel,naive,1,1338,2115,h,10.0,0.14017374052490314,0.46881846164923974,0.0404970645904541,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.3286447211243366
kernel,kernel,block,1,1338,2115,h,10.0,0.884046217909799,0.545381726621945,0.041192054748535156,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.33866449128785403
kernel,kernel,block_buffered,1,1338,2115,h,10.0,0.9845867033109788,0.5041238922252205,0.03593087196350098,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.4804628110857583
kernel,kernel,walk_forward,1,1338,2115,h,20.689655172413794,0.386078802969183,0.49765469943561785,0.019927024841308594,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.11157589646643484
kernel,kernel,naive,2,2338,3115,h,10.0,0.1328870334643772,0.3828790052378097,0.03957390785217285,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.24999197177343252
kernel,kernel,block,2,2338,3115,h,20.689655172413794,0.8009731846295939,0.46178324714220603,0.038047075271606445,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.33918993748738785
kernel,kernel,block_buffered,2,2338,3115,h,10.0,0.9182034105037623,0.44500163110994234,0.03545808792114258,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.47320177939381997
kernel,kernel,walk_forward,2,2338,3115,h,31.379310344827587,0.5370286909869258,0.4167518118986365,0.019961833953857422,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.12027687908828932
kernel,kernel,naive,3,3338,4115,h,10.0,0.1442448098321568,0.2837657404339098,0.038519859313964844,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.139520930601753
