model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
spline,spline,naive,0,338,1115,lambda,0.041753189365604,0.11856055617618808,0.9540000512965717,0.05459117889404297,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.8354394951203836
spline,spline,block,0,338,1115,lambda,12.689610031679221,0.1920243367216087,0.7676791817761629,0.053848981857299805,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.5756548450545542
spline,spline,block_buffered,0,338,1115,lambda,12.689610031679221,1.6987128817554094,0.6253205066230685,0.05326485633850098,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",1.0733923751323409
spline,spline,walk_forward,0,338,1115,lambda,12.689610031679221,0.30841101079889677,0.4158089528361299,0.059792280197143555,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.10739794203723313
spline,spline,naive,1,1338,2115,lambda,0.06723357536499334,0.14672035207705653,1.6734049203291121,0.0547480583190918,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-1.5266845682520556
spline,spline,block,1,1338,2115,lambda,1.1721022975334805,0.5051052280997407,1.4608815225212726,0.05369210243225098,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.9557762944215319
spline,spline,block_buffered,1,1338,2115,lambda,1.1721022975334805,0.7768887770000258,1.2344184703342074,0.053225040435791016,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.4575296933341816
spline,spline,walk_forward,1,1338,2115,lambda,20.433597178569418,0.23029250355298128,0.7901519577530072,0.058258056640625,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.5598594542000259
spline,spline,naive,2,2338,3115,lambda,0.02592943797404667,0.13501657506768994,1.6439381742680275,0.05562114715576172,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-1.5089215992003375
spline,spline,block,2,2338,3115,lambda,3.039195382313198,0.2617448715305211,1.0490790736675626,0.05246996879577637,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.7873342021370415
spline,spline,block_buffered,2,2338,3115,lambda,52.98316906283707,0.6605979793166923,1.1913231266818372,0.053070068359375,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.5307251473651449
spline,spline,walk_forward,2,2338,3115,lambda,52.98316906283707,0.4235523731935245,0.8166174962427506,0.059549808502197266,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.3930651230492261
spline,spline,naive,3,3338,4115,lambda,0.01,0.15299595921063264,0.9948994088375487,0.054167985916137695,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.841903449626916
spline,spline,block,3,3338,4115,lambda,32.90344562312668,0.6056763001313185,1.1375473941759187,0.054431915283203125,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.5318710940446002
spline,spline,block_buffered,3,3338,4115,lambda,356.2247890262444,1.360550856060358,1.274301372780652,0.0544130802154541,1000,local_bump,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.08624948327970605
