model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
kernel,kernel,naive,0,338,1115,h,10.0,0.3262010536298152,1.2203226823653939,0.03684711456298828,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.8941216287355787
kernel,kernel,block,0,338,1115,h,84.82758620689656,1.5237196714047692,1.7208403682207343,0.03633880615234375,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.1971206968159651
kernel,kernel,block_buffered,0,338,1115,h,52.758620689655174,1.4095469388983772,1.8640113712043807,0.034570932388305664,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.4544644323060034
kernel,kernel,walk_forward,0,338,1115,h,20.689655172413794,1.0207476417011019,1.3835770027688932,0.01961493492126465,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.3628293610677913
kernel,kernel,naive,1,1338,2115,h,10.0,0.3639610093224069,1.373929637186274,0.03871417045593262,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.009968627863867
kernel,kernel,block,1,1338,2115,h,320.0,1.6014720916170249,1.8379668935221454,0.038909196853637695,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.2364948019051205
kernel,kernel,block_buffered,1,1338,2115,h,10.0,1.535342097380142,1.7249879880873038,0.03695201873779297,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.18964589070716187
kernel,kernel,walk_forward,1,1338,2115,h,10.0,1.2585225879956667,1.5916723025875554,0.01984381675720215,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.3331497145918887
kernel,kernel,naive,2,2338,3115,h,10.0,0.33730827852187656,1.8242291897188305,0.03800010681152344,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.486920911196954
kernel,kernel,block,2,2338,3115,h,20.689655172413794,1.5539783693775024,1.9240621115289929,0.03762006759643555,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.3700837421514904
kernel,kernel,block_buffered,2,2338,3115,h,234.48275862068965,2.1755881008906135,2.5178345750096516,0.036834001541137695,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.3422464741190381
kernel,kernel,walk_forward,2,2338,3115,h,95.51724137931035,1.3926071351760123,1.7217364830579753,0.020075082778930664,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.329129347881963
kernel,kernel,naive,3,3338,4115,h,10.0,0.431383042787162,1.1064347658667786,0.03751707077026367,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.6750517230796166
kernel,kernel,block,3,3338,4115,h,52.758620689655174,1.3266746671683254,1.306449330914821,0.03927493095397949,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.02022533625350431
kernel,kernel,block_buffered,3,3338,4115,h,309.3103448275862,1.4173079812515545,1.2936340879965509,0.0361180305480957,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.12367389325500366
kernel,kernel,walk_forward,3,3338,4115,h,31.379310344827587,0.9158882489729584,1.0994444022185168,0.020720720291137695,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.1835561532455584
kernel,kernel,naive,4,4338,5115,h,10.0,0.3806903917889643,1.4514126580175994,0.03859305381774902,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.070722266228635
kernel,kernel,block,4,4338,5115,h,191.72413793103448,1.614218012127975,1.506208520068535,0.03834795951843262,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.1080094920594401
kernel,kernel,block_buffered,4,4338,5115,h,191.72413793103448,1.6062609974891573,1.526472709932217,0.03539896011352539,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.07978828755694023
kernel,kernel,walk_forward,4,4338,5115,h,42.06896551724138,1.057041263740878,1.287717028689475,0.02115917205810547,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.2306757649485971
kernel,kernel,naive,5,5338,6115,h,10.0,0.40814201890864316,1.9922062846624164,0.038239240646362305,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.5840642657537733
kernel,kernel,block,5,5338,6115,h,320.0,1.4449262768742213,2.210407566835553,0.03765082359313965,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.7654812899613319
kernel,kernel,block_buffered,5,5338,6115,h,320.0,1.404869558678993,3.4228580314374795,0.03818106651306152,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-2.0179884727584865
kernel,kernel,walk_forward,5,5338,6115,h,20.689655172413794,0.9577973788650933,2.179575396216349,0.020978927612304688,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.2217780173512556
kernel,kernel,naive,6,6338,7115,h,10.0,0.4976882570483048,1.359451972455617,0.03798794746398926,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.8617637154073123
kernel,kernel,block,6,6338,7115,h,266.55172413793105,2.170200442311475,1.450459281398545,0.03914809226989746,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.7197411609129298
kernel,kernel,block_buffered,6,6338,7115,h,10.0,2.1074755755636745,1.6823672242203345,0.034718990325927734,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.42510835134334
kernel,kernel,walk_forward,6,6338,7115,h,20.689655172413794,1.552475948280388,1.8162248999071935,0.02013111114501953,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.26374895162680545
kernel,kernel,naive,7,7338,8115,h,10.0,0.3549257591507261,2.508705511669987,0.037831783294677734,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-2.153779752519261
kernel,kernel,block,7,7338,8115,h,20.689655172413794,1.2153139364126155,2.249379215608033,0.03711891174316406,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.0340652791954175
kernel,kernel,block_buffered,7,7338,8115,h,10.0,1.5683242078018815,2.254041893533015,0.035574913024902344,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.6857176857311336
kernel,kernel,walk_forward,7,7338,8115,h,10.0,0.8160136161437522,2.1374694266805263,0.020946979522705078,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.321455810536774
kernel,kernel,naive,8,8338,9115,h,10.0,0.3367372500666299,1.4623528462843318,0.03734588623046875,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.125615596217702
kernel,kernel,block,8,8338,9115,h,10.0,1.634311928749891,1.584945417994601,0.03759002685546875,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.04936651075529008
kernel,kernel,block_buffered,8,8338,9115,h,320.0,1.80102099849395,1.8902036786866176,0.034986019134521484,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.08918268019266762
kernel,kernel,walk_forward,8,8338,9115,h,20.689655172413794,0.6942677680815641,1.4205951328999387,0.020246028900146484,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.7263273648183746
