model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
spline,spline,naive,0,338,1115,lambda,0.01,0.3513104175712363,6.252433649920644,0.05288386344909668,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-5.901123232349408
spline,spline,block,0,338,1115,lambda,923.6708571873866,1.3502833868899748,2.427656489845306,0.0546870231628418,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.077373102955331
spline,spline,block_buffered,0,338,1115,lambda,10000.0,1.7289995295762572,2.2842746091115744,0.05184793472290039,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.5552750795353172
spline,spline,walk_forward,0,338,1115,lambda,10000.0,1.4212340652191997,2.8369169983866014,0.060072898864746094,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.4156829331674017
spline,spline,naive,1,1338,2115,lambda,0.01,0.3591991684213967,7.640812704711616,0.05638003349304199,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-7.281613536290219
spline,spline,block,1,1338,2115,lambda,137.3823795883264,1.702616085225475,3.3818642663500427,0.05642819404602051,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.6792481811245676
spline,spline,block_buffered,1,1338,2115,lambda,52.98316906283707,1.5550587879203035,2.4073906133557093,0.0538330078125,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.8523318254354058
spline,spline,walk_forward,1,1338,2115,lambda,10000.0,1.4749375548822465,2.948234285164694,0.061145782470703125,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.4732967302824473
spline,spline,naive,2,2338,3115,lambda,0.01,0.38074976987359926,7.374633179638588,0.05338406562805176,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-6.9938834097649885
spline,spline,block,2,2338,3115,lambda,4.893900918477494,1.1111276100954157,3.9836903917317414,0.0529327392578125,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-2.8725627816363257
spline,spline,block_buffered,2,2338,3115,lambda,32.90344562312668,1.7081073936804227,3.6131450495772923,0.053385019302368164,1000,local_bump,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.9050376558968696
