model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
xgb,xgb,naive,0,338,1115,max_depth,6.0,0.11636999916930643,0.6210669267356475,0.36351990699768066,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.504696927566341
xgb,xgb,block,0,338,1115,max_depth,6.0,0.560464249640261,0.5459739586003166,0.3889951705932617,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.01449029103994437
xgb,xgb,block_buffered,0,338,1115,max_depth,3.0,0.8576845693861734,0.5470794951730078,0.3781912326812744,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.31060507421316563
xgb,xgb,walk_forward,0,338,1115,max_depth,2.0,0.6453212584709684,0.5875464619499292,0.4521050453186035,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.05777479652103923
xgb,xgb,naive,1,1338,2115,max_depth,6.0,0.14921363583480135,0.743663460527191,0.3762328624725342,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.5944498246923897
xgb,xgb,block,1,1338,2115,max_depth,6.0,0.7666972298852216,0.7177306145386126,0.382188081741333,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.048966615346608955
xgb,xgb,block_buffered,1,1338,2115,max_depth,2.0,1.7253491848666542,0.7105277043378306,0.37760162353515625,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",1.0148214805288236
xgb,xgb,walk_forward,1,1338,2115,max_depth,2.0,0.6538540373898186,0.7428750540077591,0.4477050304412842,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.08902101661794048
xgb,xgb,naive,2,2338,3115,max_depth,6.0,0.12823438387896938,0.5574799640068129,0.3686819076538086,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.42924558012784353
xgb,xgb,block,2,2338,3115,max_depth,8.0,1.0539882549704935,0.5323196439912257,0.38279080390930176,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.5216686109792679
xgb,xgb,block_buffered,2,2338,3115,max_depth,2.0,1.625118363486079,0.535125332223492,0.37467503547668457,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",1.089993031262587
xgb,xgb,walk_forward,2,2338,3115,max_depth,3.0,0.5792404868247616,0.5263593872094632,0.443453311920166,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.05288109961529841
xgb,xgb,naive,3,3338,4115,max_depth,8.0,0.1327108811023459,0.7692543060481691,0.36153388023376465,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.6365434249458233
xgb,xgb,block,3,3338,4115,max_depth,2.0,1.5013600332779802,0.6904490222315841,0.3825058937072754,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.8109110110463961
xgb,xgb,block_buffered,3,3338,4115,max_depth,2.0,1.9606804416805648,0.7082429582981951,0.3716757297515869,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",1.2524374833823697
xgb,xgb,walk_forward,3,3338,4115,max_depth,8.0,0.693544405814713,0.7211301117891126,0.43201684951782227,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.027585705974399577
xgb,xgb,naive,4,4338,5115,max_depth,6.0,0.12106399900905465,0.4549545272123643,0.36223912239074707,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.33389052820330967
xgb,xgb,block,4,4338,5115,max_depth,8.0,1.0695933539574067,0.4399261274235016,0.37813687324523926,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.6296672265339052
xgb,xgb,block_buffered,4,4338,5115,max_depth,2.0,1.2322387214795891,0.4753220122105617,0.36603498458862305,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.7569167092690274
xgb,xgb,walk_forward,4,4338,5115,max_depth,8.0,0.8661643714719792,0.4490916779747162,0.4375491142272949,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.417072693497263
xgb,xgb,naive,5,5338,6115,max_depth,6.0,0.14889680320944118,0.8741272615511398,0.3637833595275879,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.7252304583416986
xgb,xgb,block,5,5338,6115,max_depth,5.0,1.162437175373514,0.7754375660870492,0.3638749122619629,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.38699960928646493
xgb,xgb,block_buffered,5,5338,6115,max_depth,2.0,1.4387041538061163,0.760464378075606,0.35996222496032715,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.6782397757305103
xgb,xgb,walk_forward,5,5338,6115,max_depth,2.0,0.6535449875616748,0.7777775500769495,0.4315640926361084,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.1242325625152747
xgb,xgb,naive,6,6338,7115,max_depth,8.0,0.14184080850621603,0.6326961119075387,0.3580608367919922,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.49085530340132266
xgb,xgb,block,6,6338,7115,max_depth,2.0,1.7862144371433488,0.6474450283985422,0.3637990951538086,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",1.1387694087448066
xgb,xgb,block_buffered,6,6338,7115,max_depth,2.0,1.7105739343574626,0.637891794963991,0.3648872375488281,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",1.0726821393934718
xgb,xgb,walk_forward,6,6338,7115,max_depth,3.0,0.7304759960807202,0.6700213640892985,0.42896604537963867,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.06045463199142176
xgb,xgb,naive,7,7338,8115,max_depth,8.0,0.12059775610983081,0.4770064145322257,0.3685789108276367,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.3564086584223949
xgb,xgb,block,7,7338,8115,max_depth,2.0,1.1855451518480336,0.47474975929818636,0.3767828941345215,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.7107953925498471
xgb,xgb,block_buffered,7,7338,8115,max_depth,2.0,1.380278641321133,0.47553130304864366,0.36174535751342773,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.9047473382724893
xgb,xgb,walk_forward,7,7338,8115,max_depth,2.0,0.4795714753388969,0.4766503382730935,0.4417088031768799,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.002921137065803381
xgb,xgb,naive,8,8338,9115,max_depth,6.0,0.13563115780027418,0.3966763410812627,0.369020938873291,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.2610451832809885
xgb,xgb,block,8,8338,9115,max_depth,2.0,1.1915002543865272,0.3953328402215761,0.36783695220947266,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.7961674141649511
xgb,xgb,block_buffered,8,8338,9115,max_depth,3.0,0.9820839592230559,0.37861990998656936,0.40335798263549805,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.6034640492364866
xgb,xgb,walk_forward,8,8338,9115,max_depth,8.0,0.5317380273100096,0.3736099880026942,0.45000123977661133,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.15812803930731545
xgb,xgb,naive,9,9338,10115,max_depth,6.0,0.1203311554399066,0.47538172279126895,0.37456417083740234,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.3550505673513623
xgb,xgb,block,9,9338,10115,max_depth,6.0,1.374453861384499,0.4614110900912781,0.3688478469848633,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.9130427712932209
xgb,xgb,block_buffered,9,9338,10115,max_depth,8.0,1.7577918004527582,0.46596472165262615,0.36125802993774414,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",1.291827078800132
xgb,xgb,walk_forward,9,9338,10115,max_depth,2.0,0.8256510769437458,0.4271892992486067,0.43409299850463867,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.39846177769513913
xgb,xgb,naive,10,10338,11115,max_depth,6.0,0.1335362793930434,0.6207169372313126,0.3897860050201416,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.4871806578382692
xgb,xgb,block,10,10338,11115,max_depth,4.0,0.9937927488427816,0.5938355445885468,0.3911888599395752,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.39995720425423475
xgb,xgb,block_buffered,10,10338,11115,max_depth,2.0,1.5427583788174961,0.5516473262602084,0.3834099769592285,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.9911110525572877
xgb,xgb,walk_forward,10,10338,11115,max_depth,2.0,0.7013279781304594,0.5766025197645727,0.44945406913757324,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.12472545836588678
xgb,xgb,naive,11,11338,12115,max_depth,6.0,0.14459254428763685,0.5963145323382376,0.36472487449645996,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.45172198805060076
xgb,xgb,block,11,11338,12115,max_depth,3.0,1.020873488696121,0.5232430973581881,0.3782021999359131,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.49763039133793296
xgb,xgb,block_buffered,11,11338,12115,max_depth,2.0,1.989928106723223,0.5682246289003448,0.37795281410217285,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",1.4217034778228783
xgb,xgb,walk_forward,11,11338,12115,max_depth,2.0,0.5506735185185175,0.5671127848100437,0.44748401641845703,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.016439266291526144
xgb,xgb,naive,12,12338,13115,max_depth,6.0,0.1134035631829323,0.5408757628433293,0.3737950325012207,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.42747219966039696
xgb,xgb,block,12,12338,13115,max_depth,2.0,1.4578206270132923,0.5039004269877502,0.3819620609283447,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.9539202000255421
xgb,xgb,block_buffered,12,12338,13115,max_depth,8.0,1.1489044616838011,0.5358129587237115,0.3829786777496338,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.6130915029600896
xgb,xgb,walk_forward,12,12338,13115,max_depth,8.0,0.578297285175857,0.5215788152393313,0.43388986587524414,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.05671846993652574
xgb,xgb,naive,13,13338,14115,max_depth,6.0,0.13806030947266767,0.5111333608371732,0.3788471221923828,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.3730730513645055
xgb,xgb,block,13,13338,14115,max_depth,3.0,0.659931577491504,0.5176821301574422,0.3656320571899414,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.14224944733406175
xgb,xgb,block_buffered,13,13338,14115,max_depth,2.0,1.177559472310359,0.4879058258887853,0.3835320472717285,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.6896536464215738
xgb,xgb,walk_forward,13,13338,14115,max_depth,6.0,0.4747337214387566,0.5181015503839145,0.42137908935546875,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.043367828945157894
xgb,xgb,naive,14,14338,15115,max_depth,6.0,0.13789380348998245,0.5468730055677928,0.37084221839904785,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.40897920207781036
xgb,xgb,block,14,14338,15115,max_depth,8.0,0.8110667633483868,0.498975712727418,0.3860311508178711,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.3120910506209688
xgb,xgb,block_buffered,14,14338,15115,max_depth,3.0,1.2955810448092215,0.5041536812008133,0.42760491371154785,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.7914273636084083
xgb,xgb,walk_forward,14,14338,15115,max_depth,2.0,0.4360279035547671,0.5198950923646205,0.48090291023254395,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.08386718880985339
xgb,xgb,naive,15,15338,16115,max_depth,6.0,0.13194155225322515,0.5788008639978555,0.3698310852050781,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.44685931174463034
xgb,xgb,block,15,15338,16115,max_depth,2.0,1.4102579836984572,0.5719630559370493,0.3923027515411377,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.8382949277614079
xgb,xgb,block_buffered,15,15338,16115,max_depth,8.0,0.9314440506419344,0.6055363823797537,0.38602304458618164,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.32590766826218065
xgb,xgb,walk_forward,15,15338,16115,max_depth,6.0,0.6427624540377949,0.5947487224599118,0.4419898986816406,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.04801373157788302
xgb,xgb,naive,16,16338,17115,max_depth,8.0,0.13057518897297116,0.6031850706892209,0.3771817684173584,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.47260988171624974
xgb,xgb,block,16,16338,17115,max_depth,3.0,1.0433141524242338,0.5690112612562779,0.3685901165008545,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.4743028911679559
xgb,xgb,block_buffered,16,16338,17115,max_depth,3.0,1.0394953560508706,0.55399052824027,0.37871599197387695,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.48550482781060067
xgb,xgb,walk_forward,16,16338,17115,max_depth,2.0,0.9803512126676063,0.5554784493492307,0.46620965003967285,1000,local_bump,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.42487276331837553
