model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
kernel,kernel,naive,0,338,1115,h,10.0,0.6966993548577504,4.376654924709661,0.03634381294250488,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.6799555698519106
kernel,kernel,block,0,338,1115,h,20.689655172413794,1.1020860498978777,4.616364351462528,0.03638195991516113,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.5142783015646506
kernel,kernel,block_buffered,0,338,1115,h,10.0,1.3202755330656673,4.156216112240843,0.03373599052429199,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.8359405791751757
kernel,kernel,walk_forward,0,338,1115,h,42.06896551724138,1.2876084404003458,4.497299088612475,0.020050048828125,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.2096906482121286
kernel,kernel,naive,1,1338,2115,h,10.0,0.6453795255364746,6.440838371019154,0.036231040954589844,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-5.795458845482679
kernel,kernel,block,1,1338,2115,h,20.689655172413794,1.26371245884997,4.978998150476883,0.03656196594238281,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.7152856916269132
kernel,kernel,block_buffered,1,1338,2115,h,42.06896551724138,1.6944072899405498,5.3999300011383795,0.034674882888793945,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.7055227111978297
kernel,kernel,walk_forward,1,1338,2115,h,42.06896551724138,1.294942759252813,4.6012550023994905,0.01970386505126953,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.306312243146677
kernel,kernel,naive,2,2338,3115,h,10.0,1.8169066200778972,30.873992098871803,0.036720991134643555,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-29.057085478793905
kernel,kernel,block,2,2338,3115,h,42.06896551724138,4.309023774368997,17.995320895310677,0.03657102584838867,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-13.68629712094168
