model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
xgb,xgb,naive,0,338,1115,max_depth,8.0,0.36293887652538726,5.327288433610109,0.3719441890716553,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-4.964349557084722
xgb,xgb,block,0,338,1115,max_depth,4.0,1.0153127755347398,5.1403300428443375,0.3748807907104492,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-4.125017267309598
xgb,xgb,block_buffered,0,338,1115,max_depth,5.0,1.4822888865496044,5.034060028284841,0.37331080436706543,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.551771141735237
xgb,xgb,walk_forward,0,338,1115,max_depth,2.0,1.8445215217956425,4.936242061789828,0.42281222343444824,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.091720539994186
xgb,xgb,naive,1,1338,2115,max_depth,6.0,0.29723865600543187,7.005014776399969,0.3903779983520508,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-6.707776120394538
xgb,xgb,block,1,1338,2115,max_depth,2.0,1.1611194836890373,6.40562650320914,0.3753788471221924,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-5.2445070195201025
xgb,xgb,block_buffered,1,1338,2115,max_depth,2.0,1.469500377043293,6.360370439585928,0.3742661476135254,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-4.890870062542636
xgb,xgb,walk_forward,1,1338,2115,max_depth,2.0,1.5537529626737785,6.3100539379557254,0.4395163059234619,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-4.756300975281947
xgb,xgb,naive,2,2338,3115,max_depth,8.0,0.5256654895072804,32.64720113876557,0.38839221000671387,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-32.121535649258284
xgb,xgb,block,2,2338,3115,max_depth,2.0,7.836917343478765,31.166797883356786,0.36344003677368164,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-23.32988053987802
xgb,xgb,block_buffered,2,2338,3115,max_depth,2.0,6.3947832420971125,30.937628802069366,0.3649778366088867,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-24.542845559972253
xgb,xgb,walk_forward,2,2338,3115,max_depth,2.0,7.692683372020061,31.170089643534606,0.43155717849731445,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-23.477406271514546
xgb,xgb,naive,3,3338,4115,max_depth,8.0,0.3913785760518005,13.896366407570843,0.37555718421936035,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-13.504987831519042
xgb,xgb,block,3,3338,4115,max_depth,2.0,2.042870848372156,12.900555633456687,0.36602210998535156,1000,local_bump,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-10.857684785084531
