model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
kernel,kernel,naive,0,338,1115,h,10.0,0.11401743067954646,0.25170508354509946,0.039357900619506836,1000,nonlinear_curvature,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.137687652865553
kernel,kernel,block,0,338,1115,h,20.689655172413794,0.24662939666428807,0.21760593032911393,0.0381779670715332,1000,nonlinear_curvature,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.029023466335174136
kernel,kernel,block_buffered,0,338,1115,h,95.51724137931035,0.46705603161018344,0.22408117639821362,0.03544211387634277,1000,nonlinear_curvature,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.24297485521196982
kernel,kernel,walk_forward,0,338,1115,h,10.0,0.1636906290427767,0.2326267866963773,0.020342111587524414,1000,nonlinear_curvature,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.06893615765360059
kernel,kernel,naive,1,1338,2115,h,10.0,0.14026979111029547,0.3649683995841312,0.038134098052978516,1000,nonlinear_curvature,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.22469860847383571
kernel,kernel,block,1,1338,2115,h,63.44827586206897,0.26074911516152666,0.26808098194775554,0.03820610046386719,1000,nonlinear_curvature,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.00733186678622888
kernel,kernel,block_buffered,1,1338,2115,h,63.44827586206897,0.29757504035630056,0.252007811246116,0.03630399703979492,1000,nonlinear_curvature,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.04556722911018457
kernel,kernel,walk_forward,1,1338,2115,h,20.689655172413794,0.18461470908628574,0.32715741247515784,0.0204470157623291,1000,nonlinear_curvature,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.1425427033888721
kernel,kernel,naive,2,2338,3115,h,10.0,0.13256715579562886,0.2742104487897075,0.03933000564575195,1000,nonlinear_curvature,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.14164329299407866
kernel,kernel,block,2,2338,3115,h,42.06896551724138,0.24213022966307288,0.24250699113274857,0.03829383850097656,1000,nonlinear_curvature,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.00037676146967569046
