model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
kernel,kernel,naive,0,338,1115,h,10.0,0.3262311225553535,1.129684934388496,0.03873491287231445,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.8034538118331425
kernel,kernel,block,0,338,1115,h,159.6551724137931,1.109313700608259,0.9577722556548258,0.03763413429260254,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.15154144495343314
kernel,kernel,block_buffered,0,338,1115,h,159.6551724137931,1.1258559003276605,1.029812927209457,0.0354161262512207,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.09604297311820353
kernel,kernel,walk_forward,0,338,1115,h,20.689655172413794,1.054535172508629,1.1152278421985542,0.02054309844970703,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.06069266968992526
kernel,kernel,naive,1,1338,2115,h,10.0,0.3637569808247302,1.1775133983844552,0.04159116744995117,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.813756417559725
kernel,kernel,block,1,1338,2115,h,74.13793103448276,0.7837022351747593,0.8355979026402878,0.03875565528869629,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.05189566746552843
kernel,kernel,block_buffered,1,1338,2115,h,63.44827586206897,0.8180482474460243,0.8253041703109574,0.036216020584106445,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.00725592286493304
kernel,kernel,walk_forward,1,1338,2115,h,74.13793103448276,0.822249356755221,0.8650952005946545,0.020514726638793945,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.04284584383943346
kernel,kernel,naive,2,2338,3115,h,10.0,0.33694771030662496,1.6687834881188777,0.03857874870300293,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.3318357778122527
kernel,kernel,block,2,2338,3115,h,20.689655172413794,0.9825207526922345,1.1385016108001538,0.0378270149230957,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.15598085810791928
kernel,kernel,block_buffered,2,2338,3115,h,106.20689655172414,1.1430426448959188,1.1693350140898935,0.035275936126708984,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.026292369193974707
kernel,kernel,walk_forward,2,2338,3115,h,74.13793103448276,1.0545791746213315,1.1280444991612324,0.021046876907348633,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.07346532453990084
kernel,kernel,naive,3,3338,4115,h,10.0,0.43138530112646023,1.023048710784397,0.03793692588806152,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.5916634096579368
kernel,kernel,block,3,3338,4115,h,74.13793103448276,0.9256313061559862,0.712713698016468,0.038392066955566406,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.2129176081395182
kernel,kernel,block_buffered,3,3338,4115,h,74.13793103448276,1.017854399450116,0.7619642688939756,0.035578012466430664,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.2558901305561403
kernel,kernel,walk_forward,3,3338,4115,h,42.06896551724138,0.9211221526472314,0.6808501109221806,0.020113229751586914,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.2402720417250508
kernel,kernel,naive,4,4338,5115,h,10.0,0.3805903296892812,1.3764323202819944,0.03835177421569824,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.9958419905927132
kernel,kernel,block,4,4338,5115,h,116.89655172413794,1.069829777702928,0.9952962761989108,0.038617849349975586,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.07453350150401716
kernel,kernel,block_buffered,4,4338,5115,h,95.51724137931035,1.0423564673502033,1.007198674972966,0.03615403175354004,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.03515779237723726
kernel,kernel,walk_forward,4,4338,5115,h,31.379310344827587,0.798295422944729,1.0128945117965553,0.020778894424438477,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.21459908885182633
kernel,kernel,naive,5,5338,6115,h,10.0,0.4076015336793114,1.8343563725965901,0.03768515586853027,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.4267548389172786
kernel,kernel,block,5,5338,6115,h,148.9655172413793,0.8047738850332508,1.225799246669904,0.04195284843444824,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.42102536163665316
kernel,kernel,block_buffered,5,5338,6115,h,116.89655172413794,0.7673017784278964,1.253049129724239,0.03594231605529785,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.4857473512963426
kernel,kernel,walk_forward,5,5338,6115,h,84.82758620689656,0.7995942936484628,1.1363240147498694,0.020272016525268555,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.33672972110140664
kernel,kernel,naive,6,6338,7115,h,10.0,0.49784797035638856,1.2676119327012205,0.03879594802856445,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.769763962344832
kernel,kernel,block,6,6338,7115,h,95.51724137931035,1.2331481819835302,0.8829666589372343,0.037381887435913086,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.3501815230462959
kernel,kernel,block_buffered,6,6338,7115,h,95.51724137931035,1.2328997299980768,0.8561170453956397,0.03462696075439453,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.37678268460243713
kernel,kernel,walk_forward,6,6338,7115,h,20.689655172413794,1.1214700918921972,0.8929793091009961,0.0203249454498291,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.22849078279120105
kernel,kernel,naive,7,7338,8115,h,10.0,0.3551032430103014,2.406943323428164,0.0381779670715332,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-2.0518400804178625
kernel,kernel,block,7,7338,8115,h,52.758620689655174,0.7094378754145112,1.604531546789539,0.037982940673828125,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.8950936713750277
kernel,kernel,block_buffered,7,7338,8115,h,31.379310344827587,0.8984798566235188,1.669582109861242,0.03480100631713867,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.7711022532377232
kernel,kernel,walk_forward,7,7338,8115,h,10.0,0.7661500758866362,1.95452191005663,0.020912885665893555,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.1883718341699938
kernel,kernel,naive,8,8338,9115,h,10.0,0.3376739301641339,1.2889314213213332,0.037651777267456055,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.9512574911571994
kernel,kernel,block,8,8338,9115,h,116.89655172413794,0.8786743056908541,1.0316570612505216,0.03871488571166992,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.15298275555966745
kernel,kernel,block_buffered,8,8338,9115,h,95.51724137931035,0.8795923109344972,1.124813516115422,0.035291194915771484,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.24522120518092483
kernel,kernel,walk_forward,8,8338,9115,h,20.689655172413794,0.5858570466795116,1.2859491515554204,0.02064371109008789,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.7000921048759089
kernel,kernel,naive,9,9338,10115,h,10.0,0.3670674412492049,1.1991108266883628,0.038703203201293945,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.8320433854391579
kernel,kernel,block,9,9338,10115,h,84.82758620689656,0.8325867968698825,0.8926398419088521,0.03864121437072754,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.06005304503896969
kernel,kernel,block_buffered,9,9338,10115,h,106.20689655172414,0.8618192978463215,0.9053683067073586,0.036559104919433594,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.043549008861037075
kernel,kernel,walk_forward,9,9338,10115,h,31.379310344827587,0.6473568609201957,0.8932692206140468,0.020572900772094727,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.24591235969385106
