model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
spline,spline,naive,0,338,1115,lambda,0.01,0.3512154702587661,6.269719796563772,0.055639028549194336,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-5.918504326305006
spline,spline,block,0,338,1115,lambda,10000.0,1.2427016660914714,1.0507405793047424,0.05998826026916504,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.19196108678672896
spline,spline,block_buffered,0,338,1115,lambda,10000.0,1.6005716537512416,1.0627563496299322,0.053446292877197266,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.5378153041213094
spline,spline,walk_forward,0,338,1115,lambda,10000.0,1.388431271950745,0.9798864835438159,0.059300899505615234,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.4085447884069291
spline,spline,naive,1,1338,2115,lambda,0.01,0.3590527318463716,7.629992404470025,0.055932044982910156,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-7.270939672623654
spline,spline,block,1,1338,2115,lambda,2395.026619987486,0.725362813949524,0.9767330150656106,0.05252218246459961,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.25137020111608666
spline,spline,block_buffered,1,1338,2115,lambda,6210.169418915616,0.8951380999539967,1.0408297329608518,0.05569314956665039,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.14569163300685506
spline,spline,walk_forward,1,1338,2115,lambda,10000.0,0.8271434754514374,0.9173687020715707,0.06048083305358887,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.09022522662013333
spline,spline,naive,2,2338,3115,lambda,0.01,0.38082096405490323,7.428121136490411,0.055557966232299805,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-7.0473001724355075
spline,spline,block,2,2338,3115,lambda,3856.620421163472,0.9827022869086836,1.3527938673329392,0.056427955627441406,1000,nonlinear_curvature,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.3700915804242556
