model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
spline,spline,naive,0,338,1115,lambda,0.02592943797404667,0.19493694002334788,3.250244289841659,0.05199599266052246,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-3.055307349818311
spline,spline,block,0,338,1115,lambda,10000.0,0.304856482155318,0.48832354034515546,0.051589250564575195,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.18346705818983744
spline,spline,block_buffered,0,338,1115,lambda,12.689610031679221,0.2778560340692284,0.3879329611367853,0.05011725425720215,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.11007692706755695
spline,spline,walk_forward,0,338,1115,lambda,85.31678524172806,0.37890571789718064,0.3806264676919494,0.05641508102416992,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.0017207497947687722
spline,spline,naive,1,1338,2115,lambda,0.01,0.25297601100034706,2.5174859865525994,0.054633140563964844,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.264509975552252
spline,spline,block,1,1338,2115,lambda,573.6152510448682,0.30544911577443046,0.3983123352858292,0.05234885215759277,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.09286321951139875
spline,spline,block_buffered,1,1338,2115,lambda,2395.026619987486,0.36707939853636,0.38888598489165416,0.05098295211791992,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.021806586355294144
spline,spline,walk_forward,1,1338,2115,lambda,2395.026619987486,0.28958596292036165,0.3908828257193282,0.05756211280822754,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.10129686279896655
spline,spline,naive,2,2338,3115,lambda,0.01,0.2153689325347244,2.442563056657886,0.053006887435913086,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.227194124123162
spline,spline,block,2,2338,3115,lambda,3856.620421163472,0.3289296215925916,0.39870352214566146,0.05132102966308594,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.06977390055306987
spline,spline,block_buffered,2,2338,3115,lambda,2395.026619987486,0.3487134942826356,0.3528187560011063,0.05155205726623535,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.0041052617184706985
spline,spline,walk_forward,2,2338,3115,lambda,10000.0,0.44153620094642987,0.33584702623106466,0.05523085594177246,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.10568917471536521
spline,spline,naive,3,3338,4115,lambda,0.10826367338740546,0.24526224237486677,5.041561230285518,0.053952932357788086,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-4.796298987910651
spline,spline,block,3,3338,4115,lambda,6210.169418915616,0.30509537034861844,0.34936534374982475,0.05168294906616211,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.04426997340120631
spline,spline,block_buffered,3,3338,4115,lambda,3856.620421163472,0.33133660945540505,0.3437611722283188,0.0504460334777832,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.012424562772913761
spline,spline,walk_forward,3,3338,4115,lambda,2395.026619987486,0.32038267035404094,0.3418875504841835,0.056752920150756836,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.021504880130142567
spline,spline,naive,4,4338,5115,lambda,0.02592943797404667,0.2598140390782113,2.4909363100766626,0.051908254623413086,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.2311222709984513
spline,spline,block,4,4338,5115,lambda,2395.026619987486,0.4126088660027857,0.304145675878461,0.05262422561645508,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.1084631901243247
spline,spline,block_buffered,4,4338,5115,lambda,137.3823795883264,0.325984528299657,0.3056595375166905,0.05132412910461426,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.020324990782966512
spline,spline,walk_forward,4,4338,5115,lambda,6210.169418915616,0.4001326850665756,0.31603819458554905,0.05774402618408203,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.08409449048102657
spline,spline,naive,5,5338,6115,lambda,0.2807216203941177,0.2652265331323251,3.690325614164408,0.053598880767822266,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-3.4250990810320827
spline,spline,block,5,5338,6115,lambda,923.6708571873866,0.2804690241673432,0.4060849322519954,0.052217960357666016,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.12561590808465217
spline,spline,block_buffered,5,5338,6115,lambda,32.90344562312668,0.2864974109541728,0.4483360049959447,0.051413774490356445,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.16183859404177192
spline,spline,walk_forward,5,5338,6115,lambda,137.3823795883264,0.29523495305843367,0.3780075351195236,0.0550839900970459,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.08277258206108995
spline,spline,naive,6,6338,7115,lambda,0.01610262027560939,0.35946316346912766,2.408577413782674,0.052683115005493164,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.049114250313546
spline,spline,block,6,6338,7115,lambda,573.6152510448682,0.44325388320559256,0.42469193603763955,0.051490068435668945,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.018561947167953008
spline,spline,block_buffered,6,6338,7115,lambda,221.22162910704503,0.493745168663929,0.40526662668848773,0.0506899356842041,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.08847854197544125
spline,spline,walk_forward,6,6338,7115,lambda,6210.169418915616,0.5264432722233471,0.4123986032934802,0.05671286582946777,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.11404466892986687
spline,spline,naive,7,7338,8115,lambda,0.2807216203941177,0.2711339667917508,2.685755674580931,0.053045034408569336,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.41462170778918
spline,spline,block,7,7338,8115,lambda,137.3823795883264,0.3443902334727448,0.24155814601122721,0.05109977722167969,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.10283208746151756
spline,spline,block_buffered,7,7338,8115,lambda,6210.169418915616,0.3717717286962375,0.22795981424219347,0.050051212310791016,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.143811914454044
spline,spline,walk_forward,7,7338,8115,lambda,3856.620421163472,0.3891901511744249,0.24095323472585184,0.056378841400146484,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.14823691644857306
spline,spline,naive,8,8338,9115,lambda,0.01610262027560939,0.2511457787708691,2.251618300848883,0.05348992347717285,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.000472522078014
spline,spline,block,8,8338,9115,lambda,10000.0,0.46198848860522246,0.19873040571804274,0.05097794532775879,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.2632580828871797
spline,spline,block_buffered,8,8338,9115,lambda,10000.0,0.3928691363685964,0.20083356788292606,0.04986000061035156,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.19203556848567033
spline,spline,walk_forward,8,8338,9115,lambda,10000.0,0.3856122387675503,0.19627587653103046,0.0567779541015625,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.18933636223651984
spline,spline,naive,9,9338,10115,lambda,0.01,0.23812453046839047,2.693612751674706,0.05240130424499512,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.4554882212063154
spline,spline,block,9,9338,10115,lambda,1487.3521072935118,0.33082087500891594,0.27154749256287636,0.051622867584228516,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.05927338244603958
spline,spline,block_buffered,9,9338,10115,lambda,1487.3521072935118,0.3990603560893231,0.27638127313351607,0.051171064376831055,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.12267908295580704
spline,spline,walk_forward,9,9338,10115,lambda,3856.620421163472,0.3821810794862741,0.2396116127725735,0.05968523025512695,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.1425694667137006
spline,spline,naive,10,10338,11115,lambda,0.02592943797404667,0.2344509129188573,3.608032295504219,0.05199790000915527,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-3.3735813825853618
spline,spline,block,10,10338,11115,lambda,2395.026619987486,0.42993311468338974,0.3355277058918512,0.051099300384521484,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.09440540879153853
spline,spline,block_buffered,10,10338,11115,lambda,573.6152510448682,0.38241669280883284,0.3341044065529368,0.05007195472717285,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.048312286255896064
spline,spline,walk_forward,10,10338,11115,lambda,3856.620421163472,0.4399337503508621,0.3344332708555843,0.055696964263916016,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.1055004794952778
spline,spline,naive,11,11338,12115,lambda,0.02592943797404667,0.22764345029091895,2.784331829185177,0.05251121520996094,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.556688378894258
spline,spline,block,11,11338,12115,lambda,1487.3521072935118,0.3309701374211648,0.26138107186439974,0.050932884216308594,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.06958906555676508
spline,spline,block_buffered,11,11338,12115,lambda,3856.620421163472,0.4903306900073569,0.26370910671656933,0.0497431755065918,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.22662158329078758
spline,spline,walk_forward,11,11338,12115,lambda,573.6152510448682,0.3657936421880415,0.2701363420127046,0.05565905570983887,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.09565730017533691
spline,spline,naive,12,12338,13115,lambda,0.01,0.2161416490161831,2.5111870428964407,0.05273914337158203,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.2950453938802577
spline,spline,block,12,12338,13115,lambda,1487.3521072935118,0.3579092314925139,0.3709153074135555,0.050817012786865234,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.013006075921041582
spline,spline,block_buffered,12,12338,13115,lambda,923.6708571873866,0.3335771533979924,0.3981238536987486,0.05037426948547363,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.06454670030075621
spline,spline,walk_forward,12,12338,13115,lambda,10000.0,0.4948050034796283,0.33801647276374214,0.057048797607421875,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.15678853071588617
spline,spline,naive,13,13338,14115,lambda,0.041753189365604,0.2580231481337223,2.1576996490155897,0.053819894790649414,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-1.8996765008818675
spline,spline,block,13,13338,14115,lambda,3856.620421163472,0.30833518461007464,0.30449315909313945,0.05116581916809082,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.003842025516935188
spline,spline,block_buffered,13,13338,14115,lambda,3856.620421163472,0.301700057008304,0.296296056596311,0.050520896911621094,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.005404000411993015
spline,spline,walk_forward,13,13338,14115,lambda,2395.026619987486,0.30725573310564425,0.26720653611826517,0.057061195373535156,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.040049196987379077
spline,spline,naive,14,14338,15115,lambda,0.10826367338740546,0.26035654755382975,2.3010846245006356,0.052522897720336914,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.040728076946806
spline,spline,block,14,14338,15115,lambda,3856.620421163472,0.279404770250994,0.31927734403779756,0.05092978477478027,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.03987257378680359
spline,spline,block_buffered,14,14338,15115,lambda,6210.169418915616,0.2886073077590593,0.3149794479757211,0.05208396911621094,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.026372140216661788
spline,spline,walk_forward,14,14338,15115,lambda,1487.3521072935118,0.2661545134206345,0.29320554040637825,0.05591392517089844,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.027051026985743742
spline,spline,naive,15,15338,16115,lambda,0.01,0.2412492117068478,2.9464012246058173,0.0543370246887207,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.7051520128989694
spline,spline,block,15,15338,16115,lambda,6210.169418915616,0.3457964359899822,0.3329784709404751,0.05439901351928711,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.012817965049507107
spline,spline,block_buffered,15,15338,16115,lambda,2395.026619987486,0.3184017969349439,0.33782787438596557,0.05062127113342285,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.01942607745102165
spline,spline,walk_forward,15,15338,16115,lambda,10000.0,0.391284117795045,0.3323742663762855,0.05782604217529297,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.05890985141875954
spline,spline,naive,16,16338,17115,lambda,0.02592943797404667,0.2585598524421019,3.31418150090744,0.05264687538146973,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-3.0556216484653382
spline,spline,block,16,16338,17115,lambda,923.6708571873866,0.32089323261340746,0.37401915507172806,0.0530400276184082,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.053125922458320596
spline,spline,block_buffered,16,16338,17115,lambda,6210.169418915616,0.41939599327792204,0.31591025895637725,0.049112796783447266,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.10348573432154479
spline,spline,walk_forward,16,16338,17115,lambda,10000.0,0.44297230060083675,0.32187140429608,0.054666996002197266,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.12110089630475673
spline,spline,naive,17,17338,18115,lambda,0.10826367338740546,0.2513128699070043,3.5477786774730027,0.05326676368713379,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-3.2964658075659985
spline,spline,block,17,17338,18115,lambda,573.6152510448682,0.3828202276535913,0.38425416034540905,0.052712202072143555,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.0014339326918177409
spline,spline,block_buffered,17,17338,18115,lambda,573.6152510448682,0.3470384920096309,0.441048036161527,0.049494028091430664,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.09400954415189611
spline,spline,walk_forward,17,17338,18115,lambda,6210.169418915616,0.3177651228055401,0.4000885353287985,0.05815291404724121,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.08232341252325842
spline,spline,naive,18,18338,19115,lambda,0.01,0.24333329045025304,3.5741145535925996,0.05547785758972168,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-3.3307812631423466
spline,spline,block,18,18338,19115,lambda,1487.3521072935118,0.2892582927970503,0.2890408493626553,0.05118107795715332,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.0002174434343950038
spline,spline,block_buffered,18,18338,19115,lambda,2395.026619987486,0.4582664580526826,0.30241405417631917,0.05070781707763672,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.15585240387636345
