model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
xgb,xgb,naive,0,338,1115,max_depth,6.0,0.11562746972836116,0.5655749169826824,0.40819692611694336,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.44994744725432123
xgb,xgb,block,0,338,1115,max_depth,2.0,0.33536827339415687,0.4896821057320798,0.3774540424346924,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.15431383233792295
xgb,xgb,block_buffered,0,338,1115,max_depth,2.0,0.3591356287248561,0.5035627310066312,0.38135862350463867,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.14442710228177508
xgb,xgb,walk_forward,0,338,1115,max_depth,2.0,0.5770300606733667,0.5126927008011982,0.4427046775817871,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.06433735987216849
xgb,xgb,naive,1,1338,2115,max_depth,6.0,0.14952208630926836,0.6278776969672115,0.3961679935455322,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.4783556106579432
xgb,xgb,block,1,1338,2115,max_depth,5.0,0.32167215047029357,0.6016490127666121,0.37753915786743164,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.2799768622963185
xgb,xgb,block_buffered,1,1338,2115,max_depth,2.0,0.7138934879989487,0.5996293118200139,0.3947470188140869,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.1142641761789348
xgb,xgb,walk_forward,1,1338,2115,max_depth,2.0,0.4920154133199175,0.5976654679573096,0.4408280849456787,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.10565005463739208
xgb,xgb,naive,2,2338,3115,max_depth,6.0,0.12822208052054937,0.4935887030895758,0.376986026763916,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.3653666225690264
xgb,xgb,block,2,2338,3115,max_depth,2.0,0.40811127896456706,0.45462331533154166,0.38577818870544434,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.046512036366974596
xgb,xgb,block_buffered,2,2338,3115,max_depth,3.0,0.5269244898607868,0.4577821758478068,0.38877201080322266,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.06914231401297999
xgb,xgb,walk_forward,2,2338,3115,max_depth,2.0,0.5151410609519352,0.45492827389948937,0.4297621250152588,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.06021278705244587
xgb,xgb,naive,3,3338,4115,max_depth,6.0,0.13240382039034734,0.6878704034168914,0.38176894187927246,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.5554665830265441
xgb,xgb,block,3,3338,4115,max_depth,2.0,0.45844907461556483,0.6038278737237901,0.3767678737640381,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.14537879910822527
xgb,xgb,block_buffered,3,3338,4115,max_depth,2.0,0.6399282408329934,0.6001857806246161,0.38126516342163086,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.03974246020837724
xgb,xgb,walk_forward,3,3338,4115,max_depth,3.0,0.41088294707349454,0.612121677018221,0.4389188289642334,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.2012387299447264
xgb,xgb,naive,4,4338,5115,max_depth,6.0,0.11994291380274968,0.3925903529923198,0.3687429428100586,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.27264743918957013
xgb,xgb,block,4,4338,5115,max_depth,5.0,0.45412806891666674,0.35791349306948816,0.3686180114746094,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.09621457584717857
xgb,xgb,block_buffered,4,4338,5115,max_depth,3.0,0.391891057299483,0.37635090884964306,0.3608741760253906,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.015540148449839919
xgb,xgb,walk_forward,4,4338,5115,max_depth,8.0,0.5685347279422613,0.34705851166977403,0.44649600982666016,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.22147621627248731
xgb,xgb,naive,5,5338,6115,max_depth,6.0,0.1499315364926175,0.7821956774993664,0.3772127628326416,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.6322641410067489
xgb,xgb,block,5,5338,6115,max_depth,2.0,0.39418988929834786,0.6644284577181124,0.3690159320831299,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.27023856841976457
xgb,xgb,block_buffered,5,5338,6115,max_depth,2.0,0.4792925431821402,0.6607036578073295,0.36876893043518066,1000,nonlinear_curvature,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.18141111462518933
