model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
kernel,kernel,naive,0,338,1115,h,10.0,0.6970836306602396,4.256891027687911,0.043588876724243164,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.5598073970276713
kernel,kernel,block,0,338,1115,h,52.758620689655174,0.8188302127591449,3.08484349006637,0.036408185958862305,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.2660132773072252
kernel,kernel,block_buffered,0,338,1115,h,63.44827586206897,0.8475552167846956,3.1079381454882227,0.035002946853637695,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.2603829287035273
kernel,kernel,walk_forward,0,338,1115,h,52.758620689655174,0.9667312986727176,3.1401242990924763,0.019934892654418945,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.173393000419759
kernel,kernel,naive,1,1338,2115,h,10.0,0.6459272907963917,6.334568927285296,0.03668999671936035,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-5.688641636488904
kernel,kernel,block,1,1338,2115,h,31.379310344827587,0.8711255571499684,3.570956430617565,0.036110877990722656,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.6998308734675964
kernel,kernel,block_buffered,1,1338,2115,h,52.758620689655174,0.8648224275495512,3.5862112375538886,0.034002065658569336,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.7213888100043375
kernel,kernel,walk_forward,1,1338,2115,h,42.06896551724138,0.9721168815500111,3.616569751756446,0.01936817169189453,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.644452870206435
kernel,kernel,naive,2,2338,3115,h,10.0,1.8178231513795253,30.77309705979218,0.03655600547790527,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-28.955273908412654
kernel,kernel,block,2,2338,3115,h,74.13793103448276,3.777285585265831,18.617445410105226,0.03612804412841797,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-14.840159824839395
kernel,kernel,block_buffered,2,2338,3115,h,127.58620689655173,4.157576448575291,20.105266906048833,0.033103227615356445,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-15.947690457473541
kernel,kernel,walk_forward,2,2338,3115,h,84.82758620689656,4.794195691361986,19.315888229251048,0.019565105438232422,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-14.521692537889063
