model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
spline,spline,naive,0,338,1115,lambda,0.17433288221999882,0.7282675809600841,36.05656836620777,0.053018808364868164,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-35.328300785247684
spline,spline,block,0,338,1115,lambda,3856.620421163472,0.8382499645350722,3.146526137654832,0.05050325393676758,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.30827617311976
spline,spline,block_buffered,0,338,1115,lambda,221.22162910704503,0.781921062810959,3.239655704658175,0.0493471622467041,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.4577346418472157
spline,spline,walk_forward,0,338,1115,lambda,3856.620421163472,0.9172781679906068,3.1330938287263352,0.05700993537902832,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.2158156607357284
spline,spline,naive,1,1338,2115,lambda,0.17433288221999882,0.7278860046444873,47.458847433346286,0.05303788185119629,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-46.7309614287018
spline,spline,block,1,1338,2115,lambda,356.2247890262444,0.8300670165545851,3.4844994356729715,0.05224299430847168,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.654432419118386
spline,spline,block_buffered,1,1338,2115,lambda,6210.169418915616,0.8822774910646306,3.591591887445783,0.04973173141479492,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.7093143963811523
spline,spline,walk_forward,1,1338,2115,lambda,6210.169418915616,0.9486291934088475,3.4863068834638526,0.05531907081604004,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.537677690055005
spline,spline,naive,2,2338,3115,lambda,0.01,1.7628847946910517,162.1321727798978,0.052442073822021484,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-160.36928798520674
spline,spline,block,2,2338,3115,lambda,10000.0,3.8047510545151213,20.864544509976437,0.05145692825317383,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-17.059793455461314
