model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
xgb,xgb,naive,0,338,1115,max_depth,8.0,0.3636318827785213,5.289415333399548,0.36417293548583984,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-4.925783450621027
xgb,xgb,block,0,338,1115,max_depth,2.0,0.9906494600273025,5.129019678470714,0.3637399673461914,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-4.138370218443411
xgb,xgb,block_buffered,0,338,1115,max_depth,3.0,0.8450612766907295,4.928662189200244,0.37688112258911133,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-4.083600912509515
xgb,xgb,walk_forward,0,338,1115,max_depth,2.0,1.4580865543328052,4.918005314635962,0.42169880867004395,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.4599187603031565
xgb,xgb,naive,1,1338,2115,max_depth,8.0,0.2997295338222776,6.912640075529913,0.38938307762145996,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-6.612910541707635
xgb,xgb,block,1,1338,2115,max_depth,2.0,0.9303778050290639,6.418790013754618,0.3995981216430664,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-5.4884122087255545
xgb,xgb,block_buffered,1,1338,2115,max_depth,2.0,0.9931965937080273,6.249370902792323,0.3778719902038574,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-5.2561743090842965
xgb,xgb,walk_forward,1,1338,2115,max_depth,2.0,1.4320881686177416,6.2680520038554794,0.41878390312194824,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-4.835963835237738
xgb,xgb,naive,2,2338,3115,max_depth,8.0,0.5282642749320985,32.60495959574567,0.3622920513153076,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-32.07669532081357
xgb,xgb,block,2,2338,3115,max_depth,2.0,5.784163985663428,31.35457670364688,0.37807583808898926,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-25.57041271798345
xgb,xgb,block_buffered,2,2338,3115,max_depth,3.0,4.852105477420086,31.457068876561316,0.373751163482666,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-26.60496339914123
xgb,xgb,walk_forward,2,2338,3115,max_depth,2.0,7.104561504416384,30.927787228544638,0.4254112243652344,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-23.823225724128253
xgb,xgb,naive,3,3338,4115,max_depth,8.0,0.390359208417328,13.839319961712727,0.3630177974700928,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-13.448960753295399
xgb,xgb,block,3,3338,4115,max_depth,2.0,1.393290596173939,13.066617752192414,0.38729000091552734,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-11.673327156018475
xgb,xgb,block_buffered,3,3338,4115,max_depth,2.0,1.5159395248340601,12.87678757629599,0.3678169250488281,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-11.36084805146193
xgb,xgb,walk_forward,3,3338,4115,max_depth,2.0,1.8655668395688023,12.77884221790605,0.4255502223968506,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-10.913275378337246
xgb,xgb,naive,4,4338,5115,max_depth,8.0,0.48360796879397283,11.138896371987457,0.36637067794799805,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-10.655288403193484
xgb,xgb,block,4,4338,5115,max_depth,2.0,1.5103405912141004,9.99781065502047,0.3714430332183838,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-8.487470063806368
xgb,xgb,block_buffered,4,4338,5115,max_depth,2.0,1.8624693073883793,9.742966568280746,0.3740217685699463,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-7.8804972608923665
xgb,xgb,walk_forward,4,4338,5115,max_depth,2.0,1.8577157595467793,9.761226827168649,0.4201481342315674,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-7.90351106762187
xgb,xgb,naive,5,5338,6115,max_depth,8.0,0.4346852525092464,13.263473732426041,0.3696470260620117,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-12.828788479916795
xgb,xgb,block,5,5338,6115,max_depth,2.0,2.2287196723541927,12.409429345763556,0.37598299980163574,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-10.180709673409364
xgb,xgb,block_buffered,5,5338,6115,max_depth,2.0,2.5148606415270875,12.116176031778059,0.37289977073669434,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-9.60131539025097
xgb,xgb,walk_forward,5,5338,6115,max_depth,2.0,3.0922520550848147,12.174320507034642,0.4252171516418457,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-9.082068451949826
xgb,xgb,naive,6,6338,7115,max_depth,8.0,0.49615975291126035,35.52326967251146,0.3724038600921631,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-35.0271099196002
xgb,xgb,block,6,6338,7115,max_depth,2.0,5.98726030307245,32.59597845083909,0.36454224586486816,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-26.60871814776664
xgb,xgb,block_buffered,6,6338,7115,max_depth,2.0,3.190203464899336,31.773355535582663,0.37521791458129883,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-28.583152070683326
xgb,xgb,walk_forward,6,6338,7115,max_depth,2.0,4.5413858642476645,31.71406153389369,0.4267592430114746,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-27.172675669646026
xgb,xgb,naive,7,7338,8115,max_depth,8.0,0.3425597694692016,9.345735902365234,0.3651120662689209,1000,nonlinear_curvature,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-9.003176132896034
