model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
kernel,kernel,naive,0,338,1115,h,10.0,0.11424847598960178,0.30415404784579214,0.04160809516906738,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.18990557185619036
kernel,kernel,block,0,338,1115,h,20.689655172413794,0.2677665643501356,0.3070231098952602,0.03787708282470703,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.03925654554512459
kernel,kernel,block_buffered,0,338,1115,h,31.379310344827587,0.45602359805259074,0.36716111018977177,0.0365910530090332,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.08886248786281897
kernel,kernel,walk_forward,0,338,1115,h,10.0,0.18673478411129973,0.31921507563469775,0.02020096778869629,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.13248029152339802
kernel,kernel,naive,1,1338,2115,h,10.0,0.14024365645726458,0.42101598800483997,0.04206991195678711,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.2807723315475754
kernel,kernel,block,1,1338,2115,h,20.689655172413794,0.23923462361681924,0.5024188156384612,0.03881692886352539,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.263184192021642
kernel,kernel,block_buffered,1,1338,2115,h,31.379310344827587,0.3381313285423045,0.4736910750794773,0.03569984436035156,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.1355597465371728
kernel,kernel,walk_forward,1,1338,2115,h,10.0,0.16692942874246083,0.4263503065650417,0.020387887954711914,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.25942087782258083
kernel,kernel,naive,2,2338,3115,h,10.0,0.1328486488977734,0.3326094274058584,0.039845943450927734,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.19976077850808502
kernel,kernel,block,2,2338,3115,h,20.689655172413794,0.2694996805266234,0.45019062335793364,0.040946006774902344,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.18069094283131026
kernel,kernel,block_buffered,2,2338,3115,h,31.379310344827587,0.33075595573919064,0.4608724076978195,0.03630208969116211,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.13011645195862886
kernel,kernel,walk_forward,2,2338,3115,h,20.689655172413794,0.17834739484026607,0.37260285747002053,0.020849943161010742,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.19425546262975446
kernel,kernel,naive,3,3338,4115,h,10.0,0.1442155159642948,0.24379235476457364,0.03799605369567871,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.09957683880027884
kernel,kernel,block,3,3338,4115,h,42.06896551724138,0.4061129527665268,0.3222820338455583,0.037895917892456055,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.0838309189209685
kernel,kernel,block_buffered,3,3338,4115,h,31.379310344827587,0.34796376786721883,0.3272237802034044,0.035466909408569336,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.020739987663814408
kernel,kernel,walk_forward,3,3338,4115,h,20.689655172413794,0.18522290900913363,0.30689990471453543,0.022300004959106445,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.1216769957054018
kernel,kernel,naive,4,4338,5115,h,10.0,0.14211055189770128,0.29752126266617074,0.040793657302856445,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.15541071076846946
kernel,kernel,block,4,4338,5115,h,31.379310344827587,0.3308651393986127,0.4860495782802577,0.03790593147277832,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.15518443888164501
kernel,kernel,block_buffered,4,4338,5115,h,52.758620689655174,0.42268625785067976,0.40309417349751425,0.034956932067871094,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.019592084353165506
kernel,kernel,walk_forward,4,4338,5115,h,42.06896551724138,0.20633132489773412,0.3912303561440179,0.02017521858215332,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.1848990312462838
