model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
spline,spline,naive,0,338,1115,lambda,0.041753189365604,0.11850349726375402,0.9538700150732282,0.053848981857299805,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.8353665178094742
spline,spline,block,0,338,1115,lambda,137.3823795883264,0.18277551654750104,0.31399517651690473,0.052210330963134766,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.13121965996940368
spline,spline,block_buffered,0,338,1115,lambda,3856.620421163472,0.44293239956315145,0.37536173980739534,0.05721402168273926,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.0675706597557561
spline,spline,walk_forward,0,338,1115,lambda,52.98316906283707,0.27338814732550853,0.3048722120592794,0.05682182312011719,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.031484064733770856
spline,spline,naive,1,1338,2115,lambda,0.06723357536499334,0.14674074029664608,1.658500509937123,0.05512499809265137,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-1.511759769640477
spline,spline,block,1,1338,2115,lambda,573.6152510448682,0.20641829705071046,0.3449572088444294,0.05461597442626953,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.1385389117937189
spline,spline,block_buffered,1,1338,2115,lambda,356.2247890262444,0.1686918554791301,0.3805487862920489,0.053891897201538086,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.21185693081291881
spline,spline,walk_forward,1,1338,2115,lambda,20.433597178569418,0.187152202276213,0.29359196121572245,0.0603940486907959,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.10643975893950947
spline,spline,naive,2,2338,3115,lambda,0.01610262027560939,0.1350654975183115,1.629665616644629,0.05952811241149902,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-1.4946001191263176
spline,spline,block,2,2338,3115,lambda,923.6708571873866,0.18187287002048413,0.27322515722361596,0.051136016845703125,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.09135228720313182
spline,spline,block_buffered,2,2338,3115,lambda,221.22162910704503,0.1874775032740203,0.2786229721339246,0.05962395668029785,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.09114546885990432
spline,spline,walk_forward,2,2338,3115,lambda,52.98316906283707,0.26245074551048614,0.31543464667398463,0.058377981185913086,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.05298390116349849
spline,spline,naive,3,3338,4115,lambda,0.01,0.15293652859312426,1.0243787963354445,0.05663418769836426,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.8714422677423203
spline,spline,block,3,3338,4115,lambda,137.3823795883264,0.2525260894185783,0.21022080430014345,0.053330183029174805,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.04230528511843484
spline,spline,block_buffered,3,3338,4115,lambda,221.22162910704503,0.2599178672117854,0.21233521078372347,0.05608487129211426,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.04758265642806192
spline,spline,walk_forward,3,3338,4115,lambda,20.433597178569418,0.2594670872436901,0.2707361652793828,0.059278011322021484,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.011269078035692714
spline,spline,naive,4,4338,5115,lambda,0.01,0.14533489031867158,1.4365747415578203,0.05504918098449707,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-1.2912398512391488
spline,spline,block,4,4338,5115,lambda,221.22162910704503,0.22552457255686797,0.28356684164649676,0.05241990089416504,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.058042269089628784
spline,spline,block_buffered,4,4338,5115,lambda,573.6152510448682,0.2649259554888844,0.2613736724028081,0.05229330062866211,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.003552283086076302
spline,spline,walk_forward,4,4338,5115,lambda,2395.026619987486,0.19398871827325656,0.38320001360882194,0.05694389343261719,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.18921129533556538
spline,spline,naive,5,5338,6115,lambda,0.01,0.15431019060033374,2.130954843777348,0.08980798721313477,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-1.9766446531770143
spline,spline,block,5,5338,6115,lambda,573.6152510448682,0.2897412876606051,0.27027629985872786,0.06174898147583008,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.01946498780187722
spline,spline,block_buffered,5,5338,6115,lambda,52.98316906283707,0.18165145792721937,0.30172791615380157,0.08171916007995605,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.1200764582265822
spline,spline,walk_forward,5,5338,6115,lambda,1487.3521072935118,0.185930135914906,0.34604878913084114,0.05849123001098633,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.16011865321593513
spline,spline,naive,6,6338,7115,lambda,0.01,0.18975875741925669,1.7419518603684208,0.05357193946838379,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-1.552193102949164
spline,spline,block,6,6338,7115,lambda,356.2247890262444,0.4501753261939638,0.37619266636895937,0.05160999298095703,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.0739826598250044
spline,spline,block_buffered,6,6338,7115,lambda,221.22162910704503,0.37725059321999166,0.38435727135841485,0.052275896072387695,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.007106678138423195
spline,spline,walk_forward,6,6338,7115,lambda,2395.026619987486,0.24406535212282013,0.390556718373534,0.05822587013244629,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.14649136625071388
spline,spline,naive,7,7338,8115,lambda,0.01,0.13686204246881045,2.368767657209434,0.05586981773376465,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-2.2319056147406235
spline,spline,block,7,7338,8115,lambda,137.3823795883264,0.20830827424551343,0.2780547921759279,0.05185890197753906,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.06974651793041445
spline,spline,block_buffered,7,7338,8115,lambda,356.2247890262444,0.3897274727316927,0.3365754048148776,0.052854061126708984,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.05315206791681515
spline,spline,walk_forward,7,7338,8115,lambda,573.6152510448682,0.1897453361302658,0.307544119816875,0.05787515640258789,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.1177987836866092
spline,spline,naive,8,8338,9115,lambda,0.041753189365604,0.13512136894265347,0.6516475864990611,0.05420970916748047,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.5165262175564076
spline,spline,block,8,8338,9115,lambda,573.6152510448682,0.23611563961582088,0.21782214194310842,0.05254983901977539,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.01829349767271246
spline,spline,block_buffered,8,8338,9115,lambda,356.2247890262444,0.18327700213121131,0.2636379614268168,0.05242013931274414,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.08036095929560547
spline,spline,walk_forward,8,8338,9115,lambda,3856.620421163472,0.241364425627842,0.24901821333969662,0.05838918685913086,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.007653787711854626
spline,spline,naive,9,9338,10115,lambda,0.01,0.12531272165016374,1.234618539310793,0.05375814437866211,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-1.1093058176606292
spline,spline,block,9,9338,10115,lambda,137.3823795883264,0.2040368823989418,0.18884195468893292,0.05304074287414551,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.015194927710008882
spline,spline,block_buffered,9,9338,10115,lambda,137.3823795883264,0.1762222765833254,0.20001415960843194,0.05201101303100586,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.02379188302510654
spline,spline,walk_forward,9,9338,10115,lambda,2395.026619987486,0.1828331273125415,0.20145436839960723,0.06023120880126953,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.018621241087065726
spline,spline,naive,10,10338,11115,lambda,0.01,0.14770293378114335,1.2138377215908849,0.053655147552490234,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-1.0661347878097416
spline,spline,block,10,10338,11115,lambda,7.880462815669913,0.3287625187199482,0.227411011069318,0.05345892906188965,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.10135150765063022
spline,spline,block_buffered,10,10338,11115,lambda,573.6152510448682,0.5703089619364661,0.24882532261213242,0.05193185806274414,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.32148363932433366
spline,spline,walk_forward,10,10338,11115,lambda,2395.026619987486,0.21957240178780055,0.2655947672119193,0.059072017669677734,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.04602236542411878
spline,spline,naive,11,11338,12115,lambda,0.041753189365604,0.13062092465652675,0.7395784358409426,0.05459308624267578,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.6089575111844159
spline,spline,block,11,11338,12115,lambda,221.22162910704503,0.17643759064559877,0.23756633833882862,0.051245689392089844,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.061128747693229846
spline,spline,block_buffered,11,11338,12115,lambda,2395.026619987486,0.5596345598817114,0.21966140643763846,0.05053377151489258,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.339973153444073
spline,spline,walk_forward,11,11338,12115,lambda,221.22162910704503,0.192912041967269,0.3286439437200228,0.0578460693359375,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.13573190175275382
spline,spline,naive,12,12338,13115,lambda,0.01,0.1348782450474973,1.6414483523643155,0.06513118743896484,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-1.5065701073168183
spline,spline,block,12,12338,13115,lambda,923.6708571873866,0.21634855179717233,0.21762390840099166,0.05270981788635254,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.0012753566038193331
spline,spline,block_buffered,12,12338,13115,lambda,573.6152510448682,0.31309361750184184,0.23346408878168745,0.05016803741455078,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.07962952872015439
spline,spline,walk_forward,12,12338,13115,lambda,2395.026619987486,0.270103096104684,0.28552811274141676,0.05741286277770996,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.015425016636732736
spline,spline,naive,13,13338,14115,lambda,0.01,0.14109728890874043,0.39593683652777123,0.053984880447387695,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.2548395476190308
spline,spline,block,13,13338,14115,lambda,573.6152510448682,0.19542554673129947,0.21182893068456327,0.05120420455932617,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.016403383953263795
spline,spline,block_buffered,13,13338,14115,lambda,221.22162910704503,0.19905086453624504,0.19819056236777752,0.04890608787536621,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.0008603021684675249
spline,spline,walk_forward,13,13338,14115,lambda,923.6708571873866,0.2458580185988766,0.23494111751764,0.058081865310668945,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.010916901081236607
spline,spline,naive,14,14338,15115,lambda,0.4520353656360243,0.14308585956824163,0.8893194683560359,0.05230307579040527,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.7462336087877943
spline,spline,block,14,14338,15115,lambda,3.039195382313198,0.27955410099841277,0.23422085186884498,0.05211281776428223,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.04533324912956779
