model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
xgb,xgb,naive,0,338,1115,max_depth,6.0,0.08585822998383823,0.3332795336238366,0.39494991302490234,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.24742130363999837
xgb,xgb,block,0,338,1115,max_depth,3.0,0.2762806854667887,0.31703399847064995,0.4111359119415283,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.04075331300386126
xgb,xgb,block_buffered,0,338,1115,max_depth,8.0,0.43591963991322447,0.3345858712245241,0.4136629104614258,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.10133376868870037
xgb,xgb,walk_forward,0,338,1115,max_depth,6.0,0.19644792504629857,0.3083919374750944,0.4865097999572754,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.11194401242879584
xgb,xgb,naive,1,1338,2115,max_depth,6.0,0.10142276275838917,0.4282955016820621,0.40110325813293457,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.3268727389236729
xgb,xgb,block,1,1338,2115,max_depth,2.0,0.26815292283660597,0.432762306089726,0.4197120666503906,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.16460938325312002
xgb,xgb,block_buffered,1,1338,2115,max_depth,2.0,0.4024915045810403,0.4181888220419136,0.4062819480895996,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.015697317460873272
xgb,xgb,walk_forward,1,1338,2115,max_depth,2.0,0.16762821045390974,0.42729861730324226,0.4671759605407715,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.2596704068493325
xgb,xgb,naive,2,2338,3115,max_depth,6.0,0.1033418680889205,0.35023359352294986,0.410372257232666,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.24689172543402937
xgb,xgb,block,2,2338,3115,max_depth,5.0,0.24659962718811013,0.34117827261171085,0.40856099128723145,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.09457864542360073
xgb,xgb,block_buffered,2,2338,3115,max_depth,8.0,0.23761118182011626,0.33991346147110185,0.39548802375793457,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.1023022796509856
xgb,xgb,walk_forward,2,2338,3115,max_depth,2.0,0.22822647271188665,0.3318332960130114,0.4555661678314209,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.10360682330112478
xgb,xgb,naive,3,3338,4115,max_depth,6.0,0.09445333327323724,0.2586528276069588,0.39580583572387695,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.16419949433372155
xgb,xgb,block,3,3338,4115,max_depth,2.0,0.4225553553421288,0.2592824650792159,0.40263795852661133,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.16327289026291292
xgb,xgb,block_buffered,3,3338,4115,max_depth,2.0,0.38987750490486295,0.2635335021907592,0.4052867889404297,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.12634400271410373
xgb,xgb,walk_forward,3,3338,4115,max_depth,2.0,0.18617620855800862,0.25853113470233724,0.45603108406066895,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.07235492614432862
xgb,xgb,naive,4,4338,5115,max_depth,6.0,0.08967444126568087,0.34802607634555754,0.3814730644226074,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.2583516350798767
xgb,xgb,block,4,4338,5115,max_depth,2.0,0.39920218929494594,0.33494054551396096,0.4118940830230713,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.06426164378098498
xgb,xgb,block_buffered,4,4338,5115,max_depth,2.0,0.7171518998234848,0.33274160695999155,0.38123488426208496,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.38441029286349326
xgb,xgb,walk_forward,4,4338,5115,max_depth,2.0,0.22098194603898547,0.32963969957401196,0.4657280445098877,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.10865775353502649
xgb,xgb,naive,5,5338,6115,max_depth,6.0,0.09838338852378876,0.3322265199488409,0.37845301628112793,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.23384313142505214
xgb,xgb,block,5,5338,6115,max_depth,2.0,0.5970629782281834,0.31764546445363895,0.41094207763671875,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.2794175137745445
xgb,xgb,block_buffered,5,5338,6115,max_depth,2.0,0.4558390721655393,0.3261564026553875,0.3832080364227295,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.12968266951015184
xgb,xgb,walk_forward,5,5338,6115,max_depth,2.0,0.21082024375613714,0.3241941614536449,0.46372485160827637,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.11337391769750774
xgb,xgb,naive,6,6338,7115,max_depth,6.0,0.10136634221493926,0.3654932678484789,0.3836698532104492,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.2641269256335397
xgb,xgb,block,6,6338,7115,max_depth,2.0,0.677149052251236,0.33936114275742424,0.3814127445220947,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.33778790949381177
xgb,xgb,block_buffered,6,6338,7115,max_depth,2.0,0.6103529137242624,0.3489827193341982,0.39830684661865234,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.26137019439006415
xgb,xgb,walk_forward,6,6338,7115,max_depth,3.0,0.30634935098645727,0.33677219799230507,0.4498140811920166,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.030422847005847797
xgb,xgb,naive,7,7338,8115,max_depth,5.0,0.09356102265141852,0.42917599377839555,0.38252902030944824,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.335614971126977
xgb,xgb,block,7,7338,8115,max_depth,2.0,0.21063259236636123,0.41142576275196613,0.39776110649108887,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.2007931703856049
xgb,xgb,block_buffered,7,7338,8115,max_depth,5.0,0.32189260937520114,0.39257197607855654,0.3886120319366455,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.0706793667033554
xgb,xgb,walk_forward,7,7338,8115,max_depth,2.0,0.2832147749224998,0.41972707272570275,0.45734500885009766,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.13651229780320295
xgb,xgb,naive,8,8338,9115,max_depth,6.0,0.089516716878894,0.21397344070134494,0.3935396671295166,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.12445672382245095
xgb,xgb,block,8,8338,9115,max_depth,2.0,0.4040937866898477,0.21694944084018256,0.4087848663330078,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.18714434584966513
xgb,xgb,block_buffered,8,8338,9115,max_depth,8.0,0.35960266240627237,0.22324653341342887,0.3892819881439209,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.1363561289928435
xgb,xgb,walk_forward,8,8338,9115,max_depth,2.0,0.3165595582293132,0.21953097857258747,0.47347497940063477,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.09702857965672573
xgb,xgb,naive,9,9338,10115,max_depth,6.0,0.08074372913828891,0.27959118455787,0.39589476585388184,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.1988474554195811
xgb,xgb,block,9,9338,10115,max_depth,2.0,0.3919783412817841,0.2605054855445803,0.39705705642700195,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.1314728557372038
xgb,xgb,block_buffered,9,9338,10115,max_depth,6.0,0.32483833364154935,0.2638539329674233,0.4273059368133545,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.06098440067412603
xgb,xgb,walk_forward,9,9338,10115,max_depth,2.0,0.21720195602245704,0.25811703841058903,0.45430707931518555,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.04091508238813199
xgb,xgb,naive,10,10338,11115,max_depth,6.0,0.09835620703745106,0.3549336897527861,0.39605712890625,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.25657748271533504
xgb,xgb,block,10,10338,11115,max_depth,2.0,0.5195174565622154,0.33672458780422454,0.4053969383239746,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.18279286875799083
xgb,xgb,block_buffered,10,10338,11115,max_depth,6.0,0.6427103168282787,0.3441314102440142,0.40088486671447754,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",0.2985789065842645
xgb,xgb,walk_forward,10,10338,11115,max_depth,8.0,0.2057073468977023,0.32729651447393177,0.4644012451171875,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.12158916757622948
xgb,xgb,naive,11,11338,12115,max_depth,6.0,0.08787061343065974,0.24924169774373164,0.4071779251098633,1000,smooth_trend,ar1,"{'rho': 0.7, 'sigma': 0.3}",-0.1613710843130719
