model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
spline,spline,naive,0,338,1115,lambda,0.02592943797404667,0.19493618872419546,3.2514388093228406,0.051421165466308594,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-3.056502620598645
spline,spline,block,0,338,1115,lambda,137.3823795883264,0.3543783163298467,0.6718475617590887,0.05150413513183594,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.317469245429242
spline,spline,block_buffered,0,338,1115,lambda,7.880462815669913,0.28857068139244224,0.6069712099530751,0.05113410949707031,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.31840052856063283
spline,spline,walk_forward,0,338,1115,lambda,85.31678524172806,0.36009388629353195,0.6255518744737414,0.05843400955200195,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.26545798818020944
spline,spline,naive,1,1338,2115,lambda,0.01,0.2529821445407259,2.5139987777707957,0.054178714752197266,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.26101663323007
spline,spline,block,1,1338,2115,lambda,573.6152510448682,0.3109256257085021,0.5302147593822351,0.053372859954833984,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.21928913367373298
spline,spline,block_buffered,1,1338,2115,lambda,923.6708571873866,0.37990018761264677,0.4767702348231925,0.05172300338745117,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.0968700472105457
spline,spline,walk_forward,1,1338,2115,lambda,1487.3521072935118,0.32658807147871816,0.48089146205617617,0.05854487419128418,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.154303390577458
spline,spline,naive,2,2338,3115,lambda,0.01,0.2153757855854174,2.439582992690424,0.052789926528930664,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.2242072071050063
spline,spline,block,2,2338,3115,lambda,85.31678524172806,0.43201123198202823,0.49363593717128074,0.05193805694580078,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.061624705189252504
spline,spline,block_buffered,2,2338,3115,lambda,85.31678524172806,0.503983197563993,0.48744871610544005,0.05092287063598633,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.016534481458552963
spline,spline,walk_forward,2,2338,3115,lambda,6210.169418915616,0.469221852077287,0.5467615011840022,0.05713510513305664,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.07753964910671524
spline,spline,naive,3,3338,4115,lambda,0.10826367338740546,0.24525553538718042,5.036728689695453,0.05466294288635254,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-4.791473154308273
spline,spline,block,3,3338,4115,lambda,2395.026619987486,0.6927936929715187,0.41526700157377244,0.05067300796508789,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.2775266913977463
spline,spline,block_buffered,3,3338,4115,lambda,2395.026619987486,0.7890129481483238,0.42117739660688924,0.05106210708618164,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.36783555154143455
spline,spline,walk_forward,3,3338,4115,lambda,1487.3521072935118,0.38452716697694395,0.4612315031021771,0.057824134826660156,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.07670433612523314
spline,spline,naive,4,4338,5115,lambda,0.02592943797404667,0.2598135435410601,2.4939755511937993,0.05251884460449219,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.2341620076527393
spline,spline,block,4,4338,5115,lambda,573.6152510448682,0.3473514365659143,0.3629432789611659,0.05164289474487305,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.015591842395251632
spline,spline,block_buffered,4,4338,5115,lambda,221.22162910704503,0.4599547656116691,0.3551771541317231,0.049169063568115234,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.10477761147994596
spline,spline,walk_forward,4,4338,5115,lambda,3856.620421163472,0.41958672450803175,0.40870606801748277,0.05711197853088379,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.010880656490548979
spline,spline,naive,5,5338,6115,lambda,0.2807216203941177,0.26522451508421646,3.6987950051826117,0.05382680892944336,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-3.433570490098395
spline,spline,block,5,5338,6115,lambda,20.433597178569418,0.3398034320147861,0.531245690457151,0.05235004425048828,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.1914422584423649
spline,spline,block_buffered,5,5338,6115,lambda,7.880462815669913,0.29616319808507785,0.6152738466878358,0.05121922492980957,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.31911064860275795
spline,spline,walk_forward,5,5338,6115,lambda,137.3823795883264,0.30559889892155384,0.5594789698008285,0.05772805213928223,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.2538800708792746
spline,spline,naive,6,6338,7115,lambda,0.01610262027560939,0.35945952839061446,2.4070913645854635,0.052349090576171875,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.047631836194849
spline,spline,block,6,6338,7115,lambda,1487.3521072935118,0.5078741648210656,0.5834434206242444,0.05071878433227539,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.07556925580317875
spline,spline,block_buffered,6,6338,7115,lambda,2395.026619987486,0.5518199197194785,0.48819297901961123,0.05115389823913574,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.0636269406998673
spline,spline,walk_forward,6,6338,7115,lambda,3856.620421163472,0.5939979981362233,0.564100274235048,0.05670619010925293,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.029897723901175288
spline,spline,naive,7,7338,8115,lambda,0.2807216203941177,0.27116163332837473,2.688259445026318,0.05262017250061035,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.417097811697943
spline,spline,block,7,7338,8115,lambda,137.3823795883264,0.31055912130628005,0.3375787203786372,0.05228900909423828,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.027019599072357126
spline,spline,block_buffered,7,7338,8115,lambda,20.433597178569418,0.44358983841860694,0.40054707244783067,0.04991579055786133,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.043042765970776276
spline,spline,walk_forward,7,7338,8115,lambda,1487.3521072935118,0.34285420920007637,0.4681018686576288,0.055785179138183594,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-0.12524765945755245
spline,spline,naive,8,8338,9115,lambda,0.01610262027560939,0.25114546547618033,2.253133861349081,0.05264091491699219,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",-2.0019883958729006
spline,spline,block,8,8338,9115,lambda,2395.026619987486,0.3444478530850858,0.2567299130483126,0.04974794387817383,1000,smooth_trend,ma1,"{'theta': 0.7, 'sigma': 0.3}",0.08771794003677319
