model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
kernel,kernel,naive,0,338,1115,h,10.0,0.6962766662316151,4.291956688906171,0.03673100471496582,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.595680022674556
kernel,kernel,block,0,338,1115,h,42.06896551724138,0.962850018067358,3.398490048987123,0.038102149963378906,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.4356400309197648
kernel,kernel,block_buffered,0,338,1115,h,31.379310344827587,1.1129673603259362,3.540078224000162,0.03448319435119629,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.4271108636742253
kernel,kernel,walk_forward,0,338,1115,h,42.06896551724138,0.9321650405610301,3.3160219679786627,0.02005600929260254,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.3838569274176327
kernel,kernel,naive,1,1338,2115,h,10.0,0.6463282803667659,6.319328283858209,0.03834819793701172,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-5.673000003491444
kernel,kernel,block,1,1338,2115,h,52.758620689655174,1.0025305714143327,3.922204761546651,0.04026532173156738,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-2.9196741901323184
kernel,kernel,block_buffered,1,1338,2115,h,31.379310344827587,1.1693034588598343,4.3500282221986835,0.03474617004394531,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.180724763338849
kernel,kernel,walk_forward,1,1338,2115,h,63.44827586206897,0.9929239163379305,4.108166341172792,0.02016282081604004,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.1152424248348614
kernel,kernel,naive,2,2338,3115,h,10.0,1.8182488993338264,30.959962058279615,0.03801679611206055,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-29.141713158945787
kernel,kernel,block,2,2338,3115,h,320.0,4.084444718731887,19.37586277122632,0.038123130798339844,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-15.291418052494432
kernel,kernel,block_buffered,2,2338,3115,h,95.51724137931035,3.9837093051272445,21.798799229710845,0.03586983680725098,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-17.8150899245836
kernel,kernel,walk_forward,2,2338,3115,h,63.44827586206897,4.6208021679386375,19.063472089438232,0.020509958267211914,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-14.442669921499593
kernel,kernel,naive,3,3338,4115,h,10.0,0.9783551665934723,11.660884908291916,0.03763580322265625,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-10.682529741698444
kernel,kernel,block,3,3338,4115,h,52.758620689655174,1.4725197609222924,7.013190667289161,0.03706097602844238,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-5.540670906366868
kernel,kernel,block_buffered,3,3338,4115,h,320.0,1.7150195322540482,6.774204924526005,0.03495979309082031,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-5.0591853922719565
kernel,kernel,walk_forward,3,3338,4115,h,63.44827586206897,1.40518714113822,6.63981734907946,0.020182132720947266,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-5.23463020794124
kernel,kernel,naive,4,4338,5115,h,10.0,1.1190597682896215,9.153364639010245,0.03654193878173828,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-8.034304870720623
kernel,kernel,block,4,4338,5115,h,52.758620689655174,1.4934036769858854,5.107626624090481,0.03590679168701172,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.614222947104596
kernel,kernel,block_buffered,4,4338,5115,h,95.51724137931035,1.648675975543507,5.518974565119779,0.0342259407043457,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.8702985895762714
kernel,kernel,walk_forward,4,4338,5115,h,52.758620689655174,1.5575221333334441,5.472732578637391,0.020226001739501953,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.9152104453039467
kernel,kernel,naive,5,5338,6115,h,10.0,1.2111177312528296,11.352193072057478,0.03603482246398926,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-10.141075340804647
kernel,kernel,block,5,5338,6115,h,63.44827586206897,1.763914899471871,8.41906885245828,0.036199092864990234,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-6.655153952986408
kernel,kernel,block_buffered,5,5338,6115,h,31.379310344827587,1.9379945889141088,9.093417686275217,0.03406500816345215,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-7.155423097361108
kernel,kernel,walk_forward,5,5338,6115,h,74.13793103448276,1.78979137246536,8.582672828190852,0.020030975341796875,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-6.7928814557254915
kernel,kernel,naive,6,6338,7115,h,10.0,2.117209964409587,28.87906599792559,0.03628897666931152,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-26.761856033516004
kernel,kernel,block,6,6338,7115,h,84.82758620689656,3.0600946338635153,13.245542033528789,0.03672385215759277,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-10.185447399665273
kernel,kernel,block_buffered,6,6338,7115,h,74.13793103448276,3.2020261984307865,14.499618518547999,0.033750057220458984,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-11.297592320117213
kernel,kernel,walk_forward,6,6338,7115,h,63.44827586206897,3.685867760579585,14.101153537951987,0.019821882247924805,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-10.415285777372402
kernel,kernel,naive,7,7338,8115,h,10.0,0.9244513897147183,7.996768640926783,0.03610992431640625,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-7.0723172512120644
