model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
xgb,xgb,naive,0,338,1115,max_depth,8.0,0.3632863224017962,5.341667917704866,0.3737950325012207,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-4.97838159530307
xgb,xgb,block,0,338,1115,max_depth,2.0,1.2950612787755194,5.161180185162477,0.37752223014831543,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.8661189063869577
xgb,xgb,block_buffered,0,338,1115,max_depth,4.0,1.0459603986188621,4.899996821636684,0.36310338973999023,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.8540364230178215
xgb,xgb,walk_forward,0,338,1115,max_depth,2.0,1.263879326388948,4.956156728696408,0.4268307685852051,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-3.69227740230746
xgb,xgb,naive,1,1338,2115,max_depth,8.0,0.2969069761364781,6.887024020347513,0.3756699562072754,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-6.590117044211035
xgb,xgb,block,1,1338,2115,max_depth,2.0,1.2549243415111555,6.319522445315037,0.3915588855743408,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-5.064598103803882
xgb,xgb,block_buffered,1,1338,2115,max_depth,2.0,1.0691345143978173,6.2885298179485325,0.3665299415588379,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-5.219395303550716
xgb,xgb,walk_forward,1,1338,2115,max_depth,2.0,1.717511410109406,6.186172484014479,0.4437108039855957,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-4.468661073905073
xgb,xgb,naive,2,2338,3115,max_depth,8.0,0.5259981557913503,32.76776776955537,0.3616502285003662,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-32.24176961376402
xgb,xgb,block,2,2338,3115,max_depth,2.0,5.263752144591372,31.976528602908097,0.35955810546875,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-26.712776458316725
xgb,xgb,block_buffered,2,2338,3115,max_depth,2.0,4.7638424444474765,31.469247043728263,0.36194729804992676,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-26.705404599280786
xgb,xgb,walk_forward,2,2338,3115,max_depth,2.0,6.497210125805477,31.24508250577113,0.445451021194458,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-24.747872379965653
xgb,xgb,naive,3,3338,4115,max_depth,8.0,0.3912548439193211,13.811544348601448,0.3577401638031006,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-13.420289504682128
xgb,xgb,block,3,3338,4115,max_depth,3.0,1.6372663568556685,13.033802438120222,0.3592069149017334,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-11.396536081264554
xgb,xgb,block_buffered,3,3338,4115,max_depth,2.0,2.0667111852822635,12.902802619694507,0.36333274841308594,1000,smooth_trend,seasonal_ar,"{'season_period': 75, 'rho1': 0.4, 'rhoS': 0.7, 'sigma': 0.3}",-10.836091434412243
